text,label
[BIST100] Ne bu piyasaya ne bu memlekettekilere ne de dünya genelindeki inbelere güvenmeyerek full nakite geçtim cuma günü,Alım-Satım Niyeti
[BIST100] Bitcoin +2 Venezuela'da halk dans ederek kutluyor.. millet savaş ver diye borsa düşüşe geçer diyor:),Risk ve Haber Analizi
[BIST100] Yarın kıyım var piyasada bence,Piyasa Trend/Tahmin
[BIST100] AFS FONU - PORTFOYU ABD İLAÇ SEKTÖRÜ ve SAĞLIK HISSELERI: DEVELUASYON VE DÖVİZ DALGALANMALARINDAN DA KORUNMUŞ OLURSUNUZ,Genel Bilgi/Durum
"[BIST100] yarın bofa cuma günü bist30da topladığı başta bankalar akbnk,ykbnk, kchol ve thyao'u boşaltarak endeksi ciddi aşağı çekmek için elinden geleni yapar. Venezüella bizi sınırlı etkiler bence. Ama kalkıp irandaki gerilime müdahale ederse o zaman daha çok etkilenir borsa. Ancak yabancı ve kurumsallar borsaya gelmezse endekste trade in devam eder hisse bazlı yükselişlere devam eder. 1 ileri bir geriye devam ederiz",Risk ve Haber Analizi
"[BIST100] TRUMP YONETIMI ABD ILAÇ URETIM SEKTÖRÜNE 233 MILYAR DOLARLIK DOPING YAPACAK....Tarifelerden kaçmak isteyen ilaç firmaları ABD'ye yatırım yapıyor Trump'ın ilaçlara yönelik tarife tehditlerinin ardından Merck, AstraZeneca ve Johnson & Johnson gibi büyük ilaç şirketleri yatırım duyuruları yapmıştı. Merck, nisan ayı sonunda Delaware eyaletinde bir tesis inşası için 1 milyar dolarlık yatırım yapacağını açıklarken, İngiltere merkezli ilaç şirketi AstraZeneca temmuzda ilaç üretimi ve AR-GE için ABD'ye 50 milyar dolar yatırım yapmayı planladığını bildirmişti. Johnson and Johnson da mart ayında gelecek 4 yıl içinde ABD'deki yatırımını 55 milyar doların üzerine çıkaracağını açıklamıştı. İsviçre merkezli Roche da gelecek 5 yıl içinde ABD'de ilaç ve teşhis alanında 50 milyar dolar yatırım yapacağını duyurmuştu. Eli Lilly ise hafta başında, Teksas'ta 6,5 ​​milyar dolarlık yeni bir üretim tesisi inşa etmeyi planladığını açıklamıştı. Trump yönetimi ilaç üretimini ABD'ye geri getirmek istiyor",Risk ve Haber Analizi
"[BIST100] yarın eller yukarı ,donarlar aş ....",Piyasa Trend/Tahmin
[BIST100] Yatırımmi yaptık kendimizi dert sahibimi yaptık belli degil,Genel Bilgi/Durum
[BIST100] Bofa sabah sazanlari avlar yüksekten actirir kitler geçer :)),Piyasa Trend/Tahmin
[BIST100] Venezuela olayı çok kötü oldu. Dünya ekonomisinin fena etkileneceği yorumları yapılıyor. Zarar kes pozisyonlarını belirlemekte fayda var bu günden. 2026’ya kötü başladık…,Risk ve Haber Analizi
[BIST100] KARA PAZARTESİ 📛,Piyasa Trend/Tahmin
[BIST100] Tam düzlüğe çıktık derken olanlara bak…:(,Genel Bilgi/Durum
[BIST100] olan yine bize oldu,Genel Bilgi/Durum
[BIST100] Altını olan için hiç sıkıntı yok yön belli bistte olan düşünsün :))),Piyasa Trend/Tahmin
[BIST100] İran var daha unutmayın,Risk ve Haber Analizi
[BIST100] Madıranın 450 bin milisini zor günler bekliyor onların yerinde olmak istemezsiniz :),Risk ve Haber Analizi
[BIST100] YARIN BİST KIPKIRMIZI AÇAR...,Piyasa Trend/Tahmin
[BIST100] Bist yarin ne olacak ulannn cvp yazın.,Genel Bilgi/Durum
[BIST100] Durum fena…,Genel Bilgi/Durum
[BIST100] Venezuela kurtuldu şimdilik 50 yl sonra yine ac,Risk ve Haber Analizi
[BIST100] Bist düşsün ecik full nakitteyim. Kchol bim bekliyorum. Başka vsr mi fırsat hissesi..,Alım-Satım Niyeti
[BIST100] maduro meşruiyet almadi mi,Risk ve Haber Analizi
[BIST100] sular ısınıyor...yarin enkaz,Piyasa Trend/Tahmin
[BIST100] Amarikadan haber bekliyor yalan da olsa size biraz saydırayım milletin gazını almak için onay bekliyor,Risk ve Haber Analizi
[BIST100] piyasalar acisindan ilginc bir hafta bizi bekliyor arkadaslar,Piyasa Trend/Tahmin
[BIST100] yarın 11.7k plus. yaşasın Amerikan emperyalizmi ve 50dolar altı petrol fiyatları. ytd,Piyasa Trend/Tahmin
"[BIST100] Yarın kredi cek gel, büyük ucucak BIST, kacirma, ytd",Piyasa Trend/Tahmin
