text,label
"[EREGL] rezerv çalışmasını yalandan 1,5 sene sürüncemede bıraktılar ve hala daha 2026 ortalarına kadar film bitmeyecek diyorlar alt tarafı rezerv tespiti ne yani bu kadar uzatacak nesi var vur sondajı bak az yada çok neyse adam gibi söyle, ama bunların derdi manipülasyon kozunu bırakmamak, daha çok can yakacaklar anlaşılan",Risk ve Haber Analizi
[EREGL] Altın madenciliğin aşamalarının ilki olan mümkün kaynak: olası kaynak yani potansiyel kaynak olarak da anılır... Eregli altın madeni ile ilgili şu an ikinci aşamanın tespiti sürüyor... 2026 yılı ortalarında bu aşama tamamlanmış olacak. Bu durumda olumlu sonuçlar gelmesi durumunda hisse işte o zaman altın madeni ile ilgili fiyatlama yapar.,Risk ve Haber Analizi
[EREGL] Senin şuan konuştuğunu büyükler 2 sene önce yemiş yutmuş fiyatlamış oluyor. TEKRAR EDİYORUM ALTIN MADENİ İŞ BOŞ İŞ.,Genel Bilgi/Durum
[EREGL] tam okumalısın süreç uzun ve fiyat içinde değil hatta ters tepti onu belirttim yani altın için henüz çok erken o bizi bu hale getirdi zaten. haber dağ fare dogurdu gibi geldi yatirimciya,Risk ve Haber Analizi
[EREGL] Ağa artık altın madeni konuşan birini görünce kusasım geliyor .,Genel Bilgi/Durum
[BIST100] İnsanlar sanıyorki kapital kendini yok edecek :) ... Tam parca parca değerli metal satıp borsadan mal toplama zamanı. Körfez savalaro ayaklanmalar vs. Dobla gardasım dobla .Mal cosukuda yavaş yavaş satılır düşen ise yavaş yavaş doplanır.,Alım-Satım Niyeti
[EREGL] abi senin gibi düşünüyorum ondan dayak yedim bu son haber bana umut verdi eregli 30 a gider dedim ama bist 30 geri gelecekti bir kumar oynadım malı kafama yedim. bist 30 alda olsun daha ferah giideriz bence ytd,Alım-Satım Niyeti
[EREGL] Keşke vallahi ona göre dobluyorum ikili dip düşünüyorum ve hatta bankof 17 lira hedefi bile göze aldım.,Alım-Satım Niyeti
[EREGL] yok canım öyle değil abartma:)23-23.5 arası son kez bence sonra 30.88 ama 3-4 aya ytd,Hedef Fiyat Sorgulama
[EREGL] 2024 kapanış fiyatı 24.18. 2025 kapanış fiyatı 23.82 bir yıllık kazanç -2 pardon bu kazanç olmuyor kayıp diyeyim enflasyon zararını da içine koyarsan bunun -45 leri bulur zarar herhalde,Genel Bilgi/Durum
[EREGL] Bu ülkede bana bir güzel gelişme söyler misin de eregli yükselsin.zirve ederi 32-35max.oda süper bir haberde bence:) y.t.d.,Hedef Fiyat Sorgulama
[BIST100] Sana biat ettik viop 30 shortlıyoruz.testere piysssı oluştu yukarı zik zak sonra gümmmm dimi hocam? bu dün almış bofi tam tuzak kurucu bu hafta alıcılı tutar cuma veya bir sonraki pazartesi aşagıdaki ortalamaya değdirir.,Piyasa Trend/Tahmin
[BIST100] Şimdi bist 30 12500 de 11700 e düşse 80 puan eder eee adamlar vade sonu viop 30 u 12209.5 değmeden kapadı .viop kaç 13100 de. ... bist 30 düştüğünde örnek 3 hafta sonra 12209.5 da değip viop 30 uda tamamlayacak.,Hedef Fiyat Sorgulama
[EREGL] Hem borsa hem ereğli hacimsiz yükseldi:)) bu iyi değil ama göreceğiz:)),Piyasa Trend/Tahmin
"[EREGL] yukseldimi, 2022 dede bu fiyatta idi ? :)))",Genel Bilgi/Durum
"[EREGL] Amirim çakmak için de yükseltiyorlar, Yukarı çekip oradan şohrt giriyorlar sonra aylarca vuruyorlar aşağı 32.70 e de onun için sürmüşler zaten baksana birde iyi ky avladılar bu süreçde",Piyasa Trend/Tahmin
[EREGL] aynen abi:)) genel hisseler hacümsiz yükselmiş. Çakarlarsa şaşırmam:)),Piyasa Trend/Tahmin
[EREGL] Bence ereğlinin kapatılması lazım,Genel Bilgi/Durum
[EREGL] Arsa olarak daha değerli,Genel Bilgi/Durum
[EREGL] Sonunda zararımı çıkardım döndüm baktım ki bu sattığım yerde duruyor,Genel Bilgi/Durum
[EREGL] Almayı düşünenler almayın. Zararda olanlar satmayın.,Alım-Satım Niyeti
[EREGL] bunu hiç ellemiyeceklerse çıkarsınlar bist 30 dan .bist 30 12500 olmuş hiç ışık yanmıyo alanı yok satanı yok.,Genel Bilgi/Durum
[EREGL] bunun haricinde herkes yüzde 2 nin uzerinde...çünkü hepsi borsa hisssi...bu hariç,Genel Bilgi/Durum
[EREGL] ne adi hisseymişsin parayı hic ettin pc tahtacı karanlıktada düşürki içimden geçenleri hak edesin ak,Genel Bilgi/Durum
[EREGL] BIST in değil dünyanın en anlamsız ve boş hissesin sen eregli,Genel Bilgi/Durum
[EREGL] 2023 baslarında (bölünmeden) 44 TL.maliyetle aldığım bu hain 3 senede paramı pul etmiştir.,Genel Bilgi/Durum
[EREGL] daha 24 liraya düşürmeleri için yeterince zamanları var,Piyasa Trend/Tahmin
[EREGL] şirket görünümlü içi boş balon,Genel Bilgi/Durum
[BIST100] bugün düşmez ama endeks shortculara inanılmaz kar marjı açıyorlar kaldır kaldır:)y.t.d.,Piyasa Trend/Tahmin
[BIST100] bugün yeşil mum yakacaklar belli bist 30 da haftaya cuma tahminen 12160 ya değdirirler veya pazartesi gibi y.t.d.,Hedef Fiyat Sorgulama
[BIST100] zaten bist 30 da12080 görülmek zorunda aylar geçsede nereye gidiyon:)endekste ytd,Hedef Fiyat Sorgulama
[BIST100] acba kime faydalandırmak için bu kadar kaldırdılar?kimler shortluyor zengin edecekler y.t.d.,Risk ve Haber Analizi
[EREGL] evirip çevirip her daim endeksin altında kalan ve borsa ile hiç bir alakası olmayan malll,Genel Bilgi/Durum
[EREGL] Ağalar piyasayı boşvermiş orta ölçekli balinalar ve ky cirit atıyor tahtada .,Genel Bilgi/Durum
[EREGL] Satın satın zaten hiç yükselmeyecekmiş:))) .Öyle diyor höstadlar,Piyasa Trend/Tahmin
[BIST100] Yabancı yatırımcı 4 haftadır hisse alıyor 284 milyon dolar hisse senedi alışa gerçekleştirildi diyor televizyonda,Risk ve Haber Analizi
[BIST100] boffa bence endeksi biraz daha yukarı çekip sonra koyacak.mutlak saplayacakta ama ne zaman ?:)bir gel gel yapıp 2-3 hafta gezdirir sonra saplar;),Piyasa Trend/Tahmin
"[EREGL] 24,20 ye kitlediler hisseyi endeks artı 2 yine endeksin altında kaldı adi şirket",Genel Bilgi/Durum
[BIST100] bir ülke borsası düşün ki % 40 kazandığında dahi reel kazancın sıfır oluyor..ve buna yatırım yapanlar var..böylesini zor bulursun..,Genel Bilgi/Durum
"[EREGL] Vay arkadaş 24,22 e sevinir hale geldik hissede.",Genel Bilgi/Durum
[EREGL] Ne sevineceğim rezillik resmen küçük yan şirketler bile nerelere geldi bu kadar rezalet yönetim olmaz,Genel Bilgi/Durum
