text,label
[THY] borsa 3 yıl doğru hareket yok doğru olmak ve doğru bilmek herşey tersine çevirmek aldatmaca yani o yüz ben destek direnç kademe boşamak anlamak evet fay var bir çok kişi ama demek gibi sebep yer hiçbir negatif olumsuz haber yok hiçbir sıkıntı yok sadece düşürmek yani yine ben genel değerlendirmek yapmak yani sonuç bakmak,Risk ve Haber Analizi
"[EREGL] vay arkadaş 24,22 e sevinmek hal gelmek hisse .",Hedef Fiyat Sorgulama
[ALTIN] faiz karar çok etkilemek dünya ons almak .,Risk ve Haber Analizi
[THY] Tc Mehmet Şimşek e göre uçmak Thy a göre uçmak ben iki de aynı 3 yıl arpa boy gitmek hisse daha ne hak uçmak kaçmak çıkmak düşmek Yaa herşey orta arkadaş sen akşamdan kalmak mı Yaa bu hisse şu an 350 Tl olmak insan Thy iyi yer demek vallahi gene utanmak Yaa,Genel Bilgi/Durum
"[ALTIN] altın boğa piyasa hazırlamak ! Bloomberg Intelligence analist Mike imek hisse piyasa sendelemek başlamak sonra altın fiyat yükselmek geçmek belirmek "" altın konsolit olmak boğa piyasa hazırlamak "" demek ...",Piyasa Trend/Tahmin
[THY] o güvenmek demek yatırım güvenmek para Tl çevirmek yüksek faiz Türk tahvil almak ama . yatırım kazanmak para bakmak .,Risk ve Haber Analizi
[KCHOL] sermaye artırım için koç holding hisse olmak herhangi bir şey yapmak gerekmek mu . yok koçu ilgilenmek bir konu yok mu .,Risk ve Haber Analizi
"[THY] Çine vize kalkmak ne olmak . zaten üst kafa 30 gün vermek her gelmek . ama biz Çin gitmek vize . Ocak gitmek tekrar , özel resmî davet mektup an vize almak ,",Risk ve Haber Analizi
[KCHOL] altın uçmak yine savaş yine başlamak faiz artmak yine mecbur,Genel Bilgi/Durum
[THY] zaten ralli peki bu hırsız hisse Ner,Piyasa Trend/Tahmin
"[GUMUS] bakan nebat hayal yıkmak açıklamak ! ! bakan nebat Londra katılmak toplantı için gri liste yer almak bir ülke neden yabancı yatırım davet için toplantı yapmak ? diye sormak . hazine ve maliye bakan nebatî , Londra toplantı yabancı yatırım ; döviz kur sabit kalmak taahhüt vermek ( akıl almak ) sermaye kontrol olmak konu taahhüt vermek . enflasyon % 50 , mevduat faiz % . . lira bahsetmek ... vatandaş Tl tercih etmek beklemek ...",Risk ve Haber Analizi
"[ALTIN] bura ne Nes , gram altın ons karşılık değil mi , gram artmak bura nasıl - %1 olmak , lütfen bir arkadaş açıklamak mi",Genel Bilgi/Durum
[AKBNK] banka gitmek demek banka vermek alın diye önermek 3 gün yaşamak . Noel ralli geri vites yapmak banka,Piyasa Trend/Tahmin
[USDTRY] haber Drum mundar o karı dağ gelmek,Genel Bilgi/Durum
[KCHOL] . dün 172 vermek tekrar almak . enflasyon muhasebe kalkmak en çok holding yaramak öyle ya da böyle bu da sürmek zor . tek korku Bofa yük girmek tekrar satmak kalkmak göz yine 168 yer açmak . .,Risk ve Haber Analizi
"[KCHOL] borsa anlamak demek komik adam şimdi bu atamak , eleştirmek , ama bir gerçek var , bakmak bazı hâlen kabullenmek değil . bugün , şu an , 50,100 en %1 yakın değer kazanmak , dâhi 30 en iyi Kağıt 7 si kırmızı diğer 23 U yeşil yakmak . genel endeks yukarı çıkmak , bu kâğıt yani ya paralel yâd aşağı ilerlemek , araç kurum hâlen 200 , 300 Tl fiyat vermek , hepsi bir suç yanlış yönlenmek yapmak insan tuzak çekmek . bu bir anormal , hile var . bazı hâlen herşey normal seyir gitmek düşünmek . hak aramak , yasal yol takip etmek ! ! !",Hedef Fiyat Sorgulama
[KCHOL] maliyet gelmek satmak Ykb kredi kart iptal etmek hesap kapamak o Kadarki yakmak içim,Alım-Satım Niyeti
[GARAN] ay son kapamak tahmin almak . ?,Alım-Satım Niyeti
[AKBNK] yazmak 70.1 ama kafa vurmak anlık alım satım görmek var mı ?,Alım-Satım Niyeti
[KCHOL] bugün Koç 166 ve daha aşağı salmak beklemek grafik Al satmak bakmak satmak yine ön,Hedef Fiyat Sorgulama
[KCHOL] akşam büyük satmak gelmek özellikle endeks kâğıt olmak,Genel Bilgi/Durum
[THY] bugün banka yükselmek yükselmek almak Ptesi sabah 10.00 da muhtemel 0.7 Aralık enflasyon ile yapmak o çok güzel yel şaplamak altyapı mal toplamak Ptesi akşam az yukarı servis etmek ben . sonra ? sonra bura badem bıyık . bura bir tek o bilmek Bird kadro forum Yaver,Risk ve Haber Analizi
[THY] gaz bulmak battaniye alt çıkmak mı,Genel Bilgi/Durum
[EREGL] seans son Bıst 30 12160 a gitmek dikkat Y . T D .,Hedef Fiyat Sorgulama
[KCHOL] Koç Alak yok haber iyi ok mal o sonra yorum yapmak,Risk ve Haber Analizi
[GUMUS] Türkiye için kötü gün gelmek ! ! Türkiye için artık kötü gün gelmek . ABD yüksek enflasyon ve bu enflasyon karşı çekmek faiz Türk lira vurmak . ABD enflasyon karşı faiz artırım gitmek etki Türkiye çok kötü olmak ! ! faiz silâh çok sert ve hız merkez banka enflasyon karşı faiz silâh çok sert ve hız çekmek . bugün kadar Fed 2 ile 4 ara faiz artmak gitmek beklemek . ancak son yüz 7.5 enflasyon Fed en az 6 kez ve yüksek oran faiz artmak zorunlu kılmak . Almanya bile hafta faiz gibi dünya en güç ekonomi sahip ülke dâhi ön hafta faiz artırmak . biz imek kur korumak hesap bu fırtına kurtulmak çalışmak . Remzi Özdemir,Risk ve Haber Analizi
[AKBNK] yükselmek zaman çok yakın bey güç yetmek alın bu hisse,Piyasa Trend/Tahmin
[GUMUS] arkadaş bu 1 gr gümüş Tl cins değer mi,Genel Bilgi/Durum
[AKBNK] kardeş Allah aşk az kafa kullanmak ya bir haber olmak sadece Akbank mı düşmek Bist gayet iyi,Risk ve Haber Analizi
"[KCHOL] 2 yıl düşmek herkes mahvetmek enflasyon filân 2 sene kayıp büyük gerçekten yazık olmak , almak aah yak bırakmak .",Piyasa Trend/Tahmin
"[GUMUS] ... . Putin : her türlü asker seçenek Masadaputin'in geçen yıl , Rusya güvenlik talep karşılamak durum Ukrayna karşı kullanmak Quote ; her türlü Quote ; Askerî seçenek sahip olmak söylemek dikkat çekmek . savaş gidişat belirlemek iki ayrıca , Rusya ve Ukrayna asker güç karşılaştırmak . Quote ; Ukrayna vazgeçmek , Rusya gerekli olmak süreç kara operasyon başlamak . Quote ; demek . Ukrayna olası saldırı gidişat Quote ; Ukrayna savaşmak ve Batı Kiev desteklemek ne kadar hazır olmak Quote ; belirlemek kaydetmek ... . .",Risk ve Haber Analizi
[USDTRY] 2 sene önce Cidde de otel Tl ile 1500 lira hâlâ aynı fiyat bu enflasyon biz var arkadaş bilgi olmak sebep belli kasıt olmak halk somurmak orta devlet falan yok durum vahim,Hedef Fiyat Sorgulama
"[AKBNK] 1,5 sene geçmek aynı yer özel banka yeni zirve yapmak Akbank eski zirve bile yaklaşmak . banka gitmek demek Akbank a vermek gitmek . acaba yer sonra patlamak mı ?",Piyasa Trend/Tahmin
"[THY] günlük 276,75 I fiyatlamak bugün :) ) ) 272,75 ve üst her kapamak bugün çok kıymet . ağlamak kadar söylemek kulak vermek . olmak anlamak değil ağlamak faaliyet odaklamak . sulu olmak az daha sulamak . :) ) )",Piyasa Trend/Tahmin
"[AKBNK] Japonya merkez banka yarın faiz oran %0.5 demek %0.75 e yükselmek beklemek . son 30 yıl en yüksek faiz oran bu , merkez banka aynı zaman faiz arttırım sürmek vurgulamak . . biz borsa , bu durum nasıl etkilemek acaba , malum ; herşey etkilemek merak bir borsa var . .",Risk ve Haber Analizi
[THY] Pegasus un toparlamak gerek yok bu tek baş çıkmak o ayırmak bura kara geçmek başlamak kısa vade Pegasus kaymak baş dip almak diye grafik çok ara açmak görmek kadar .,Alım-Satım Niyeti
[GUMUS] / Usd ya da gümüş spot Türk lira,Genel Bilgi/Durum
[EREGL] 500 sayfa Mta rapor var . Kangal Alacahan için 2004 yıl Mta tarafından yayımlamak . satmak hâlen . stok da var . Erdemir yapmak sondaj o zaman da yapmak . Ereğli ne demek 1 yıl önce saha altın maden rastlamak . o maden ora olmak Mta yıl önce tespit etmek . bu insan aldatmak değil mi ? ha şu demek : o zaman işlemek uygun olmak rezerv bugün altın fiyat artmak neden uygun hâl gelmek .,Risk ve Haber Analizi
"[GUMUS] ... Meriç kocatmak dolar korkunç beklenti açıklamak ! ! yıl sonunda enflasyon yüz 120 , dolar imek 29 Tl dayanmak . demek . .",Risk ve Haber Analizi
"[KCHOL] yine Koç , yine hayal kırık , yine boşamak geçen bir gün daha ...",Genel Bilgi/Durum
[EREGL] 2023 17 şubat fiyat 23 Tl bir buçuk ay sonra tam 3 sene olmak evet Türk şirket yatırım yapmak biz bu düşünmek o biz düşünmek 3 sene %5 kazanmak ya nere düşmek kardeş ne olmak böyle çıkmak da para hiç olmak bir ümit de çıkmak diye beklemek bir 3 sene daha mı beklemek,Hedef Fiyat Sorgulama
[GUMUS] gümüş 110 U görmek mü ne demek o göre alım yapmak,Hedef Fiyat Sorgulama
[THY] boş yapmak hadi yeni yıl ralli başlamak endeks bakmak biz dünya sayılı hava yol ve Türkiye gurur Thy kapçak,Alım-Satım Niyeti
"[AKBNK] katar almak , İngiliz satmak . bakmak kim kazanmak ?",Alım-Satım Niyeti
[KCHOL] yapı kredi banka yâd başka büyük bir şirket yabancı satmak deyi hisse uçmak geçmek . biz zarar çıkarmak . satmak bir sürü büyük şirket var . satmak bazı kasa para girmek hisse yükselmek .,Alım-Satım Niyeti
[KCHOL] ben beğenmek yaz bu hisse almak satmak yapmak diye dün almak endeks tepki vermek bu nötr 169 A gelmek çok ciddi satmak yemek . bugün yarın komisyon çıkar satmak maalesef . ben beğenmek bu hisse çok oya gibi gelmek yatırım .,Hedef Fiyat Sorgulama
[KCHOL] piyasa çok sığ yabancı olmak Bıst 30 hisse anlam yükselmek olmak sadece endeks mühendis Asel devre sokmak yabancı gelmek anlam yükselmek olmak lot az olmak yan kâğıt olmak .,Piyasa Trend/Tahmin
[GUMUS] gümüş hangi site almak saklamak en güven,Genel Bilgi/Durum
[EREGL] Ereğli demir çelik ait Sivas arazi altın maden alt katman gümüş madenî bulunmak ... olmak . . Akti bulunmak haber sonra hisse 29 dan 24 e düşmek . . yok artık . .,Hedef Fiyat Sorgulama
[GUMUS] 190 ne alaka gram 6.1 Tl ? ?,Hedef Fiyat Sorgulama
"[GUMUS] altın ve gümüş hücum . . ! ... . . gerilim piyasa risk iştah azalmak , değer metal ilgi artmak . yatırım hisse senet veya kripto gibi nispeten daha risk varlık çıkmak değer metal yönelmek ons altın ve gümüş toparlamak yukarı yön hareket etmek . ABD dolar endeks bir süre dar bir aralık gitmek gelmek de değer metal dolar karşı değerlendirmek . ( )",Risk ve Haber Analizi
[EREGL] ben bugün dayanmak 24 alt pota dolmak,Hedef Fiyat Sorgulama
"[THY] 1,5 milyar Çinli Thy bilet almak",Genel Bilgi/Durum
"[KCHOL] 5 işlem gün hisse kayıp civar . yılbaşı ralli demek bu mu ? gâvur ev Noel Bab hediye ile girmek , biz ülke Noel Bab direk biz girmek ... .",Piyasa Trend/Tahmin
[THY] her istemek Çinli İnternet başvurmak kafa 30 gün almak sonra istemek bura uzamak daha bilmek . gelmek bura vizyon bahsetmek . sen az vizyon beyin olmak her Çinli istemek gibi girmek biz niye o ülke rahat girmek diye sormak . bir ülke vize kaldırmak diplomatik başarı sanmak . sonra da bura vizyon bahsetmek,Risk ve Haber Analizi
[USDTRY] ve kamu kuruluş maaş kim ödemek ? ?,Genel Bilgi/Durum
[KCHOL] Scholl Bofa üzeri satmak yapmak,Genel Bilgi/Durum
[BIST100] ne yükselmek hisse 2 falan yükselmek ben bu hafta yön yukarı demek olmak ama bu ay 12000 ileri geçmek ben,Hedef Fiyat Sorgulama
[GARAN] deniz - - - Ak Yk almak Bofa - - - global - - - vakıf satmak,Hedef Fiyat Sorgulama
"[USDTRY] şov , zombi köklemek Hugo",Genel Bilgi/Durum
[ALTIN] merhaba arkadaş satmak saat var mı yeni almak bilmek,Alım-Satım Niyeti
[AKBNK] Koray çim öyle şey kafa yormak . . beyin yanmak . o ekip . karşılık işlem yapmak kim ne var bilmek . . 100000 üst bütün lot saymak . Bofa Imf bu geç . sen 120 lira mum hangi otel . hangi şarap la . sönmek düş . .,Genel Bilgi/Durum
