text,label
[AKBNK] Pazartesi ben kaçar,Alım-Satım Niyeti
[AKBNK] trumpun yaptıgı karşısın da etkilenirmiyiz,Risk ve Haber Analizi
"[AKBNK] Etkilenme olasılığı çok düşük,",Risk ve Haber Analizi
[AKBNK] 40 TL'ye düşmez en fazla 59 değer 60 üzeri bir rakamda gezinir.40 diyenler çok bekler.,Piyasa Trend/Tahmin
"[AKBNK] Pazartesi elinizden malı almaya çalışacaklar,satmayın.",Piyasa Trend/Tahmin
"[AKBNK] Beklenmedik siyasi bir olay olmadığı sürece... hisse yükselmeye devam edecek. Artı olarak daha pozitif birsey olurda banka hissesi yabancıya satılırsa zaten tahmin edemeyeceğimiz yerlere gelecek.. Şuan akbank , portföylerde banka bölümü olarak çekirdek hisse",Piyasa Trend/Tahmin
"[AKBNK] Venezuela,Colombia bombalanmaya başkandı.., Venezuela lideri,&quot; silahlı çatışmaya geçiyoruz &quot; ifadesini kullandı..jeopolitik riskler yine artıyor..Bizim borsamız da her şeyden nem kaptığı düşünüldüğünde,dikkatli olunması gereken bir döneme girildiği kesin..",Risk ve Haber Analizi
[AKBNK] aman aman tamda rayına girecek akbank bahar sonuna kadar yükselecek diye bugünleri bekledik,Piyasa Trend/Tahmin
[AKBNK] malesef adamı odasından alıp götürmüşler etkilenecegiz etkilenmsek bile bahanesi oluruz,Risk ve Haber Analizi
"[AKBNK] Pazartesi enflasyon düşük gelirse beklenti zaten satın alınmıştı deyip verirler hisseyi,enflasyon yüksek gelirse zaten verirler hisseyi hertürlü sonuç düzeltme olur Pazartesi gibi geliyor bana.Koca bir yıl %5 yapana kadar canı çıktı 2026 da 1 günde %5 le başladı ne kadar ilginç...",Risk ve Haber Analizi
[AKBNK] pazartesi 90 olamaz ise 40 TL'ye kadar düşer 90 olursa 200 olur yoksa 40 kadar düşer dikkat et,Piyasa Trend/Tahmin
[AKBNK] arkadaş ben 50 sene beklicem 100 sene sonra yükselir en fazla ölürüm,Genel Bilgi/Durum
[AKBNK] 40 ye kadar düşüş bekliyor alanlar kaybedecek gibi,Piyasa Trend/Tahmin
"[AKBNK] Evet malda kalan dostlar formdaşlarım burdamısınız.Millete gaz verme günaha girersin diyen teknik analiz piyasa döngüsü bilmeyenler ya sizler sizlerde buradamısınız.Geçenlerde yarı kâr realizasyonu yapıp(çıkış 70.40'dı)bir dairemizi almıştık. Allah herkese nasip eder inşallah Gene ısrarla hedefine ulaşamayan malda kalmalı. Hedefine ulaşan hedefi her ne ise ev, araba, arsa tarla dükkan her neyse almalı.Aksi bir haber çıkmazssa turp heybe siyasi gelişme olmazssa önümüzdeki hafta enflasyon%1'in altı gelirse merkez bankası faiz indirimi güçlenir ve satın almalar sertleşir trent yukarı",Risk ve Haber Analizi
[AKBNK] borsada para kazandığım tek hisse bu bunun dışında çemtaş Karsan Netaş gibi dandik hisler de çok para kaybettim ama neredeyse zararlarım hep bu akbank'tan aldım hesabımda zaten akbank'ta emekli maaşım da yatırım tavsiyesi değildir,Genel Bilgi/Durum
"[AKBNK] Net işlemde 18,5 milyon lot satıldı 5,2 milyon lotu bofa aldı. P.tesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker. Kurumsal yatırımcı yok yabancı yok bir ileri 2 geri sürünmece",Piyasa Trend/Tahmin
