text,label
[ALTIN] YERİMİZİ ALALIM,Alım-Satım Niyeti
[ALTIN] 4010 da gelen cesaret teşekkürler,Genel Bilgi/Durum
[ALTIN] Kumarhane kaçta açılıyo,Genel Bilgi/Durum
[ALTIN] Gel gel yapıyorlar düşme,Piyasa Trend/Tahmin
[ALTIN] Kulları yemliyorlar,Genel Bilgi/Durum
[ALTIN] Rüyamda gördüm çok önemli Türkiyede altın yastık altına gidiyor diye kuyumcudan Alınan Altın vergi gelicek Bankadan alınan gıramda makas azaltılacak,Piyasa Trend/Tahmin
[ALTIN] Yarın gıram 5.475 lira ile 5.500 görme ihtimali kuvvetli cumaya kadar yüzde yüz olur benim analizim,Piyasa Trend/Tahmin
[ALTIN] Buradn alınır mı,Alım-Satım Niyeti
[ALTIN] Ben cumaya kadar gıram altının 5.500 olacağına yüzde 100 inanıyorum,Piyasa Trend/Tahmin
[ALTIN] Seni bilmem ben aldım,Alım-Satım Niyeti
[ALTIN] Fed'in yarın faiz indirimi ne gidebilecegi beklentisi olan ekonomistler var boyle bir şey olma durumunda altin yukari sert gider deniliyor,Risk ve Haber Analizi
[ALTIN] Öyle bir ihtimal yok -0-,Genel Bilgi/Durum
[ALTIN] Suriye hava sahasi ile iran hava sahasinda hic ucus yok her an her sey olabilir,Risk ve Haber Analizi
[ALTIN] altın uzun vade işi dünya ekonomi liderleri ortak hareket ediyor birileri oynuyor ya kripto yada borsa vakti olur ytd,Piyasa Trend/Tahmin
[ALTIN] Gece gece soyulduk,Genel Bilgi/Durum
[ALTIN] Merkez bankası elbet altın satmayı bırakmak zorunda kalacak ozaman göreceğim ben altını nasıl tutacaklar.,Piyasa Trend/Tahmin
[ALTIN] Faiz kararı çok etkilemez dünya ons alıyor ytd.,Piyasa Trend/Tahmin
[ALTIN] Ne olursa olsun hisseden ilerlemek daha fazla kar getiriyor bana,Genel Bilgi/Durum
[ALTIN] aslan gibi emtia !!..ytd,Genel Bilgi/Durum
[ALTIN] Ons altın olarak yatırım yapmak mı yoksa kulpsuz ata lira olarak yatırım yapmak mı daha mantıklı?,Genel Bilgi/Durum
[ALTIN] donunuza kadar alacaklar 🚨,Piyasa Trend/Tahmin
[ALTIN] 2850 olursa bozarım,Piyasa Trend/Tahmin
[ALTIN] bu fiyatlar iyi,Genel Bilgi/Durum
"[ALTIN] Sapıttı sanırım -99,86% nedir",Genel Bilgi/Durum
[ALTIN] Altın S1 sertifikasının kısaltılmışı nasıl arkadaşlar,Genel Bilgi/Durum
[ALTIN] yok ..yazdım ekler misiniz diye bence sizde yazın.yardımdan yeni hisse ekleme yeri var .,Genel Bilgi/Durum
[ALTIN] buldum varmış .İstanbul altın Serfitikası yazın çıkıyor,Genel Bilgi/Durum
[ALTIN] seans kaçta açılıyordu,Genel Bilgi/Durum
[ALTIN] ne zaman açılıyor,Genel Bilgi/Durum
[ALTIN] Bankadaki gerçek olmayan ekran altınlaeının gerçekle alakası yoktur herkes altınını eline almalı,Genel Bilgi/Durum
[ALTIN] Küçük düşüşleri olsada yükselişe engel durumlar çok zayıf görünüyor. Yavaş yavaş yukarı gidecektir. ytd,Piyasa Trend/Tahmin
[ALTIN] Evet şuan düştü bak,Genel Bilgi/Durum
[ALTIN] düşer mi?,Piyasa Trend/Tahmin
[ALTIN] nerden aliyoz bunu,Genel Bilgi/Durum
[ALTIN] 40 yapar,Piyasa Trend/Tahmin
[ALTIN] bu 37.834 ne oluyor dolar mı ons/kilo hesabı mı?,Genel Bilgi/Durum
