username,date,comment,likes,scraped_at,source
Deniz savas Atacan,1 saat önce,Pazartesi ben kaçar,0,2026-01-04 01:43:14,Akbank
Kadir Kanat,3 saat önce,trumpun yaptıgı karşısın da etkilenirmiyiz,0,2026-01-04 01:43:14,Akbank
Hasan Bey,2 saat önce,"Etkilenme olasılığı çok düşük,",0,2026-01-04 01:43:14,Akbank
Telegram da Alphajennyx Ile iletisime gecin,4 saat önce,"Uzun süre belirsizlikle yaşadım ve yatırım bana uzak geldi. Risk algım yüksekti. 2025 ortasında bilgiyle hareket ederek 6.300 USD yatırdım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC portföyü seçtim. Şüphelerim dağıldı. Portföy 46.000 USD oldu. Tüm fonlar bankama aktarıldı. Güven kazandım. Finansal bakışım değişti. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynar.",0,2026-01-04 01:43:14,Akbank
Hasan Bey,7 saat önce,40 TL'ye düşmez en fazla 59 değer 60 üzeri bir rakamda gezinir.40 diyenler çok bekler.,0,2026-01-04 01:43:14,Akbank
Hasan Bey,7 saat önce,"Pazartesi elinizden malı almaya çalışacaklar,satmayın.",0,2026-01-04 01:43:14,Akbank
Yasin Eşma,13 saat önce,"Beklenmedik siyasi bir olay olmadığı sürece... hisse yükselmeye devam edecek. Artı olarak daha pozitif birsey olurda banka hissesi yabancıya satılırsa zaten tahmin edemeyeceğimiz yerlere gelecek.. Şuan akbank , portföylerde banka bölümü olarak çekirdek hisse",0,2026-01-04 01:43:14,Akbank
Gmz Dmr,14 saat önce,"Venezuela,Colombia bombalanmaya başkandı.., Venezuela lideri,&quot; silahlı çatışmaya geçiyoruz &quot; ifadesini kullandı..jeopolitik riskler yine artıyor..Bizim borsamız da her şeyden nem kaptığı düşünüldüğünde,dikkatli olunması gereken bir döneme girildiği kesin..",0,2026-01-04 01:43:14,Akbank
Yasin Eşma,13 saat önce,aman aman tamda rayına girecek akbank bahar sonuna kadar yükselecek diye bugünleri bekledik,0,2026-01-04 01:43:14,Akbank
Gmz Dmr,13 saat önce,aynen....,0,2026-01-04 01:43:14,Akbank
Kadir Kanat,3 saat önce,malesef adamı odasından alıp götürmüşler etkilenecegiz etkilenmsek bile bahanesi oluruz,0,2026-01-04 01:43:14,Akbank
Telegramda Alphajennyx ile iletisime gec simdi,14 saat önce,Mücadele yıllarımdan kurtuldum. Maaşlarım eridi faturalar ezdirdi. Gelecek karanlıktı. Yatırım dehşet vericiydi. 2025 ortası umut doğurdu araştırmalarla. 26.000 USD yatırarak sıçradım çeşitlendirilmiş kripto para varlıklarına BITCOIN GOLD SOLANA USDT XRP ETHEREUM LITECOIN ETC gibi. Endişeler geldi gitti. Büyüme muazzamdı portföyüm 208.000 USD oldu. Fonlar anında bankama ulaştı. Korkum silindi güç geldi. Finansal zaferimi ilan ettim. Yatırım özgürlüğün yoludur bilgece. Yapı ve sabır mucizeler yaratır. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynuyor.,0,2026-01-04 01:43:14,Akbank
Umut doğan,16 saat önce,"Pazartesi enflasyon düşük gelirse beklenti zaten satın alınmıştı deyip verirler hisseyi,enflasyon yüksek gelirse zaten verirler hisseyi hertürlü sonuç düzeltme olur Pazartesi gibi geliyor bana.Koca bir yıl %5 yapana kadar canı çıktı 2026 da 1 günde %5 le başladı ne kadar ilginç...",0,2026-01-04 01:43:14,Akbank
Fakir Baykuş,23 saat önce,pazartesi 90 olamaz ise 40 TL'ye kadar düşer 90 olursa 200 olur yoksa 40 kadar düşer dikkat et,0,2026-01-04 01:43:14,Akbank
Pembe Domuz,02 Oca 2026 22:35,borsa haram bankalar haram faiz diye bir zıkkım var o HARAM uzak durun düşer paranızı yerler 90 ı geçemiyor 90 altında kaldığı sürece 40 TL'ye düşer,0,2026-01-04 01:43:14,Akbank
Fakir Baykuş,23 saat önce,BENİM GİBİ FAKİR KALIRSIN FAKİR OLDUM,0,2026-01-04 01:43:14,Akbank
Sahtekarlar tosun,02 Oca 2026 22:33,arkadaş ben 50 sene beklicem 100 sene sonra yükselir en fazla ölürüm,0,2026-01-04 01:43:14,Akbank
Sahtekarlar tosun,02 Oca 2026 22:34,40 ye kadar düşüş bekliyor alanlar kaybedecek gibi,0,2026-01-04 01:43:14,Akbank
Telegramda Alphajennyx ile iletisime gec simdi,02 Oca 2026 21:13,Uzun süre direndim. Borçlar içindeydim. Gelir yetersizdi. Korku sardı. Yatırım riskliydi. Araştırmam meyve verdi. 15.400 USD girdim. Çeşitlendirilmiş kripto para varlıkları gibi BITCOIN GOLD SOLANA USDT XRP ETHEREUM LITECOIN ETC. Büyüme patladı. Beş katlandı. 94.000 USD kazandım. Paralar aktarıldı. Finansal geleceğimi kontrol altına aldım. Bilgece yatırım gerçek özgürlüğün yoludur. Doğru bilgi sabır yapılandırılmış yaklaşım yatırımlarda güçlü araçlardır. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı rol oynuyor.,0,2026-01-04 01:43:14,Akbank
Şeref Han,02 Oca 2026 19:10,"Evet malda kalan dostlar formdaşlarım burdamısınız.Millete gaz verme günaha girersin diyen teknik analiz piyasa döngüsü bilmeyenler ya sizler sizlerde buradamısınız.Geçenlerde yarı kâr realizasyonu yapıp(çıkış 70.40'dı)bir dairemizi almıştık. Allah herkese nasip eder inşallah Gene ısrarla hedefine ulaşamayan malda kalmalı. Hedefine ulaşan hedefi her ne ise ev, araba, arsa tarla dükkan her neyse almalı.Aksi bir haber çıkmazssa turp heybe siyasi gelişme olmazssa önümüzdeki hafta enflasyon%1'in altı gelirse merkez bankası faiz indirimi güçlenir ve satın almalar sertleşir trent yukarı",0,2026-01-04 01:43:14,Akbank
babacan34,02 Oca 2026 18:04,borsada para kazandığım tek hisse bu bunun dışında çemtaş Karsan Netaş gibi dandik hisler de çok para kaybettim ama neredeyse zararlarım hep bu akbank'tan aldım hesabımda zaten akbank'ta emekli maaşım da yatırım tavsiyesi değildir,0,2026-01-04 01:43:14,Akbank
Telegramda Alphajennyx ile iletisime gec simdi,02 Oca 2026 16:55,"Uzun süre borç stresi yaşadım ve umut aradım. Yatırım bana tehdit gibi görünüyordu. Birikimlerimi kaybetmekten çekindim. 2025 ortasında araştırmaya güvendim ve USD 14.600 yatırdım. Çeşitlendirilmiş kripto varlıklar BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC. Kısa sürede portföy USD 96.300 oldu. Tüm fonlar bankama geçti. Finansal geleceğimi kontrol altına aldım ve akıllı yatırımın özgürlük sağladığını kanıtladım. Bilgi sabır ve yapı kazandırır. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynuyor.",0,2026-01-04 01:43:14,Akbank
Adamın Dibi,02 Oca 2026 16:51,"Net işlemde 18,5 milyon lot satıldı 5,2 milyon lotu bofa aldı. P.tesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker. Kurumsal yatırımcı yok yabancı yok bir ileri 2 geri sürünmece",0,2026-01-04 01:43:14,Akbank
