username,date,comment,likes,scraped_at,source
Hülagü Yalınkılıç,Yeni,MEHMET MÜDÜRO GARDAŞINIZ DEĞİLMİYDİ LA KNEFIRCI,0,2026-01-04 19:05:37,BIST 100 Endeksi
Memet İnan,Yeni,ALGICI LAR İŞBAŞI YAPMIŞ YORUMLARA BAKINCA,0,2026-01-04 19:05:37,BIST 100 Endeksi
Mehmet Fevzi Şavlı,Yeni,ne savaşı lâ böle savaş mı olur 1 saatte Adam'ı evi'nden aldılar. lısey Amerika nete türkiye nere..,0,2026-01-04 19:05:37,BIST 100 Endeksi
Cemal Paşa,Yeni,Ne bu piyasaya ne bu memlekettekilere ne de dünya genelindeki inbelere güvenmeyerek full nakite geçtim cuma günü,0,2026-01-04 19:05:37,BIST 100 Endeksi
WonderFull,Yeni,"Bu kadar azgınlık, ancak başa bir bela gelecekse yapılabilir. Dünyada sadece belli kabile ülkelerinde görülebilir bu ilkellik.",0,2026-01-04 19:05:37,BIST 100 Endeksi
Mehmet Fevzi Şavlı,1 dakika önce,Bitcoin +2 Venezuela'da halk dans ederek kutluyor.. millet savaş ver diye borsa düşüşe geçer diyor:),0,2026-01-04 19:05:37,BIST 100 Endeksi
Hülagü Yalınkılıç,1 dakika önce,860 DAIRELI BADEM DURGUT MULK ALLAHIN VERGILERI O ODESIN DIYE GURUŞ VERGI ODEMEMIŞ,0,2026-01-04 19:05:37,BIST 100 Endeksi
Cemal Paşa,1 dakika önce,Yarın kıyım var piyasada bence,0,2026-01-04 19:05:37,BIST 100 Endeksi
Aziz Demirci,2 dakika önce,AFS FONU - PORTFOYU ABD İLAÇ SEKTÖRÜ ve SAĞLIK HISSELERI: DEVELUASYON VE DÖVİZ DALGALANMALARINDAN DA KORUNMUŞ OLURSUNUZ,0,2026-01-04 19:05:37,BIST 100 Endeksi
Arnold Trolzigger,3 dakika önce,tr de 5 tane dairesi olan salamancilardan yardhim paralarını geri almalı salaman devledu,0,2026-01-04 19:05:37,BIST 100 Endeksi
Adamın Dibi,3 dakika önce,"yarın bofa cuma günü bist30da topladığı başta bankalar akbnk,ykbnk, kchol ve thyao'u boşaltarak endeksi ciddi aşağı çekmek için elinden geleni yapar. Venezüella bizi sınırlı etkiler bence. Ama kalkıp irandaki gerilime müdahale ederse o zaman daha çok etkilenir borsa. Ancak yabancı ve kurumsallar borsaya gelmezse endekste trade in devam eder hisse bazlı yükselişlere devam eder. 1 ileri bir geriye devam ederiz",0,2026-01-04 19:05:37,BIST 100 Endeksi
Aziz Demirci,3 dakika önce,"TRUMP YONETIMI ABD ILAÇ URETIM SEKTÖRÜNE 233 MILYAR DOLARLIK DOPING YAPACAK....Tarifelerden kaçmak isteyen ilaç firmaları ABD'ye yatırım yapıyor Trump'ın ilaçlara yönelik tarife tehditlerinin ardından Merck, AstraZeneca ve Johnson &amp; Johnson gibi büyük ilaç şirketleri yatırım duyuruları yapmıştı. Merck, nisan ayı sonunda Delaware eyaletinde bir tesis inşası için 1 milyar dolarlık yatırım yapacağını açıklarken, İngiltere merkezli ilaç şirketi AstraZeneca temmuzda ilaç üretimi ve AR-GE için ABD'ye 50 milyar dolar yatırım yapmayı planladığını bildirmişti. Johnson and Johnson da mart ayında gelecek 4 yıl içinde ABD'deki yatırımını 55 milyar doların üzerine çıkaracağını açıklamıştı. İsviçre merkezli Roche da gelecek 5 yıl içinde ABD'de ilaç ve teşhis alanında 50 milyar dolar yatırım yapacağını duyurmuştu. Eli Lilly ise hafta başında, Teksas'ta 6,5 ​​milyar dolarlık yeni bir üretim tesisi inşa etmeyi planladığını açıklamıştı. Trump yönetimi ilaç üretimini ABD'ye geri getirmek istiyor",0,2026-01-04 19:05:37,BIST 100 Endeksi
bozukpara tamircisi,5 dakika önce,müdüronun servetini Cevdet abi net biliyirdu buralarda mi ?,0,2026-01-04 19:05:37,BIST 100 Endeksi
YusuF uM,5 dakika önce,"yarın eller yukarı ,donarlar aş ....",0,2026-01-04 19:05:37,BIST 100 Endeksi
Arnold Trolzigger,6 dakika önce,yann dash urspch zan zurcu infest idhi,0,2026-01-04 19:05:37,BIST 100 Endeksi
Hülagü Yalınkılıç,6 dakika önce,ŞİMDİNLE ZIKIRIYA OZ KORUSUN MÜDÜROYU,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,6 dakika önce,İnvesteki sen yorum yap ula görel p Z,0,2026-01-04 19:05:37,BIST 100 Endeksi
Arnold Trolzigger,8 dakika önce,horoz bu zozugu şan zurcu infest bshiçi,0,2026-01-04 19:05:37,BIST 100 Endeksi
YusuF uM,8 dakika önce,önden gidiyoruz Güney Afrikadan,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,9 dakika önce,Tam bağımsız türkiye engelliyor ğb,0,2026-01-04 19:05:37,BIST 100 Endeksi
Hülagü Yalınkılıç,9 dakika önce,ZURNA DURUM KNEFIR ÇUVALLA PUDRAYI ÇEKİP GRUBDA KATAR KATAR YRRRĞ YIYIP GELEN TROLER DOLUŞMUŞ FORUMA,0,2026-01-04 19:05:37,BIST 100 Endeksi
Mustafa Polat,10 dakika önce,Böle vaziyete so kam,0,2026-01-04 19:05:37,BIST 100 Endeksi
Mustafa Polat,9 dakika önce,Yatırımmi yaptık kendimizi dert sahibimi yaptık belli degil,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,10 dakika önce,Az kaldı tespit edildin loloşş,0,2026-01-04 19:05:37,BIST 100 Endeksi
Öner Çelik,10 dakika önce,Bofa sabah sazanlari avlar yüksekten actirir kitler geçer :)),0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,10 dakika önce,Niye engeliyon tespit edildin yavrucum,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,11 dakika önce,Niye engeliyon nonoşum,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,12 dakika önce,İnvest ğöt pislik niye engelliyor sun ğöööttt oooşşştttt,0,2026-01-04 19:05:37,BIST 100 Endeksi
hüseyin günaydın,10 dakika önce,bak silmedi küfürü,0,2026-01-04 19:05:37,BIST 100 Endeksi
Sunrise Sunrise,14 dakika önce,Venezuela olayı çok kötü oldu. Dünya ekonomisinin fena etkileneceği yorumları yapılıyor. Zarar kes pozisyonlarını belirlemekte fayda var bu günden. 2026’ya kötü başladık…,0,2026-01-04 19:05:37,BIST 100 Endeksi
Meriç Ayaz,14 dakika önce,KARA PAZARTESİ 📛,0,2026-01-04 19:05:37,BIST 100 Endeksi
Sunrise Sunrise,7 dakika önce,Tam düzlüğe çıktık derken olanlara bak…:(,0,2026-01-04 19:05:37,BIST 100 Endeksi
aslan gün,16 dakika önce,olan yine bize oldu,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,16 dakika önce,Ses seda yok yöneticimiz uyuyormu loooo izocam,0,2026-01-04 19:05:37,BIST 100 Endeksi
hüseyin günaydın,17 dakika önce,invest sende.az gt değilsin,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,16 dakika önce,Engelliyor ğt,0,2026-01-04 19:05:37,BIST 100 Endeksi
hüseyin günaydın,14 dakika önce,müslim güneş yanlış birşey yazmadım doğruyu siliyo küfür et silmiyo,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,9 dakika önce,Aynen,0,2026-01-04 19:05:37,BIST 100 Endeksi
Öner Çelik,17 dakika önce,Altını olan için hiç sıkıntı yok yön belli bistte olan düşünsün :))),0,2026-01-04 19:05:37,BIST 100 Endeksi
sadettin atik,18 dakika önce,"Lozan , Batı ya taviz verilmeyen zor şartlarda geçmiş bir anlasmadir.. İnönü yi Lord Curzon tehdt etmiştir",0,2026-01-04 19:05:37,BIST 100 Endeksi
sadettin atik,14 dakika önce,herşeyi redediyorsunuz ileriki yıllarda eğer kapımıza gelirseniz şimdiki bu tavrunizi önünüze koyacağız dedi .ama o günleri görememiş galiba 1925 de x olmuş,0,2026-01-04 19:05:37,BIST 100 Endeksi
Öner Çelik,18 dakika önce,İran var daha unutmayın,0,2026-01-04 19:05:37,BIST 100 Endeksi
kumarbaz,18 dakika önce,sabah hepiniz hazırlanıp sıraya geçin işimiz var,0,2026-01-04 19:05:37,BIST 100 Endeksi
berisha zigonsehpa,20 dakika önce,Cuma almaya dhotü yemeyen dhotashların ağlaşmaları güldürüyor.,0,2026-01-04 19:05:37,BIST 100 Endeksi
Robert Bosch,22 dakika önce,"Bizimkinin korkmasına gerek yok. Sarı kafa gel diyince, geliyor ver deyince ne isterse veriyor.",0,2026-01-04 19:05:37,BIST 100 Endeksi
Ali Kaya,23 dakika önce,Madıranın 450 bin milisini zor günler bekliyor onların yerinde olmak istemezsiniz :),0,2026-01-04 19:05:37,BIST 100 Endeksi
Şenol Yılmaz,26 dakika önce,YARIN BİST KIPKIRMIZI AÇAR...,0,2026-01-04 19:05:37,BIST 100 Endeksi
Çıngıraklı Yılan,26 dakika önce,Para herşeyi çözmez diyen kim lan birçok problemi çözüyor,0,2026-01-04 19:05:37,BIST 100 Endeksi
Borsa Pismanliktir,27 dakika önce,"Bir bilgi geçeyim; Delta Force’un katıldığı yarışmada ezici üstünlük sağlayan bordo bereliler, birliğin çaylaklarıydı. Ana birlikler ve özel birlikler, ‘onlar dengimiz değiller’ diyerek çekilmişti. Şu ana kadar, bu özel birliklerle alakalı detaylara henüz hiç kimse ulaşamadı…",0,2026-01-04 19:05:37,BIST 100 Endeksi
Borsa Pismanliktir,26 dakika önce,bunlara inanan mklyonlarca ma l var bu ulkede,0,2026-01-04 19:05:37,BIST 100 Endeksi
Çıngıraklı Yılan,27 dakika önce,2 yıldır alaturka tuvalete sciyordum evi taşıdım klozete sçınca kendimi zengin hissettim. Bu duyguyu hep AVM lerde yaşıyordum. Zenginlik demek böyle bir şey. Gtü bile değerli,0,2026-01-04 19:05:37,BIST 100 Endeksi
murat güler,29 dakika önce,Bist yarin ne olacak ulannn cvp yazın.,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,18 dakika önce,İmam çıkmadan borsadan uzak dur loooo,0,2026-01-04 19:05:37,BIST 100 Endeksi
Sunrise Sunrise,9 dakika önce,Durum fena…,0,2026-01-04 19:05:37,BIST 100 Endeksi
Son Akıncı,34 dakika önce,Venezuela kurtuldu şimdilik 50 yl sonra yine ac,0,2026-01-04 19:05:37,BIST 100 Endeksi
sadettin atik,38 dakika önce,Selçuk B. milletle dalga geçerek ortadan kayboldu.. niye sesi çıkmıyor,0,2026-01-04 19:05:37,BIST 100 Endeksi
sadettin atik,37 dakika önce,pardon damat BERAT olacaktı,0,2026-01-04 19:05:37,BIST 100 Endeksi
murat güler,38 dakika önce,Bist düşsün ecik full nakitteyim. Kchol bim bekliyorum. Başka vsr mi fırsat hissesi..,0,2026-01-04 19:05:37,BIST 100 Endeksi
murat güler,40 dakika önce,Bist formu diye bisey varmış ilk yorum dikikler,0,2026-01-04 19:05:37,BIST 100 Endeksi
Arnold Trolzigger,41 dakika önce,maduro meşruiyet almadi mi,0,2026-01-04 19:05:37,BIST 100 Endeksi
müslim güneş,42 dakika önce,Nirde duyan yokmu loooo,0,2026-01-04 19:05:37,BIST 100 Endeksi
Arnold Trolzigger,42 dakika önce,sular ısınıyor...yarin enkaz,0,2026-01-04 19:05:37,BIST 100 Endeksi
Tunc Tc,51 dakika önce,Amarikadan haber bekliyor yalan da olsa size biraz saydırayım milletin gazını almak için onay bekliyor,0,2026-01-04 19:05:37,BIST 100 Endeksi
Wonder Full,53 dakika önce,çirkef 0e si beni engellemiş korkak pz,0,2026-01-04 19:05:37,BIST 100 Endeksi
İnatçı Yatırımcı,53 dakika önce,piyasalar acisindan ilginc bir hafta bizi bekliyor arkadaslar,0,2026-01-04 19:05:37,BIST 100 Endeksi
Tüpraş Aksa,55 dakika önce,Şöyle kainat şeysi böyle dünyaya yön veriyoruz falan derken hiç ses soluk yok,0,2026-01-04 19:05:37,BIST 100 Endeksi
berisha zigonsehpa,58 dakika önce,yarın 11.7k plus. yaşasın Amerikan emperyalizmi ve 50dolar altı petrol fiyatları. ytd,0,2026-01-04 19:05:37,BIST 100 Endeksi
Mustafa Polat,51 dakika önce,"Yarın kredi cek gel, büyük ucucak BIST, kacirma, ytd",0,2026-01-04 19:05:37,BIST 100 Endeksi
