username,date,comment,likes,scraped_at,source
PARADOX 16,1 saat önce,"investing e gireyim dedim..Bursa klinik ,psikolog reklamı çıktı. :)) Sermaye bana birşeyler mi anlatmak istiyor. :)))",0,2026-01-04 01:31:53,Ereğli Demir Çelik
SIRADISI KEYIF,6 saat önce,sicario 2 filmini seyredin..,0,2026-01-04 01:31:53,Ereğli Demir Çelik
SIRADISI KEYIF,6 saat önce,iyiler her zaman kazanır..çünkü dünnyada kötü olduğuna inanan kimse yoktur..herkes davasının haklı olduğunu doğru olduğunu savunur..halbuki hakkın olmadığı tek bir yer var mıdır ki sadece kendi olabilsin..haklı haksız görüyorsan körsün..hakkı gören göz haklı haksız göremez..,0,2026-01-04 01:31:53,Ereğli Demir Çelik
PARADOX 16,5 saat önce,Eyvah ki eyvah bu felsefeye de başladı :))))),0,2026-01-04 01:31:53,Ereğli Demir Çelik
SIRADISI KEYIF,7 saat önce,büyük balık küçük balığı yer..,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Mustafa Yakut,5 saat önce,Yönetemeyeni yönetirler.,0,2026-01-04 01:31:53,Ereğli Demir Çelik
PARADOX 16,3 saat önce,ve sen bunu yeni öğrendin :)))),0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ökkeş Sağlamoğlu,7 saat önce,Sen yaz biz yazınca onay bekletir aya,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ökkeş Sağlamoğlu,7 saat önce,Azgın azınlık yayınlama kendini kandır,0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,7 saat önce,"ne yazacaktin bilmem de, 8 milyarlik dunya 350 milyon karsisinda caresiz ?!",0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ökkeş Sağlamoğlu,4 saat önce,taco ban aynen öyle,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ali Bey,8 saat önce,"rezerv çalışmasını yalandan 1,5 sene sürüncemede bıraktılar ve hala daha 2026 ortalarına kadar film bitmeyecek diyorlar alt tarafı rezerv tespiti ne yani bu kadar uzatacak nesi var vur sondajı bak az yada çok neyse adam gibi söyle, ama bunların derdi manipülasyon kozunu bırakmamak, daha çok can yakacaklar anlaşılan",0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,8 saat önce,"Ali Tezel : Çalışanlar, emekliler 2026 yılında: “Lütfen kulağınızın arkasını koruyun”",0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,9 saat önce,adamin biri beni bir odaya davet ediyor ve diyor ki bu odaya kendisinden baska ilk defa beni davet etmis. odanin tam ortasinda bir insan diskisi var ve soruyorum utanmiyormusun odanin ortasina pislemeye diye ve adam o pisligin kendisine ait olmadigini iddia ediyor. ben bu durumda nasil bir tepki vereyim ? en iyisi kendi haline birakmak :))),0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,8 saat önce,Bunların bir derneği var dernekce para toplamışlar vize tarafından bayada yüklü para ile almışlar ortaklaşa .Şimdi toprak yükselside satalım diye bekliyorlar .Çatalca bir nebze zarar ama vize tarafı batırdı bizi diyor:),0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,8 saat önce,"aga ben hep toprak alma taraftariyim bilinen birsey, ama tarla parsellenecek degerlenece kafasi ile almam. ekip biceceksem alirim ?! :)",0,2026-01-04 01:31:53,Ereğli Demir Çelik
PARADOX 16,5 saat önce,taco ban Suya dikkat bol su rezervi olan yerleri seç çabuk kurumayacak kaynaağı sağlam :),0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,10 saat önce,Eko Türkiyeden madur yerine getirilen kadını tebrik eden ilk Türk oldu. Amerika demokrasi gıturmus oraya hahaha,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Mustafa Yakut,10 saat önce,Kaynağın ne?,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,9 saat önce,cbadayofisi kapatılan . Bugun göremezsin falat nobelden sonraki tebrikler .,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Mustafa Yakut,8 saat önce,Fikrinin fikri anlayacağımız...,0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,11 saat önce,abd maduro'yu tutuklamis :))),0,2026-01-04 01:31:53,Ereğli Demir Çelik
Soner Tasyumruk,11 saat önce,Amerika'ya bak be adamların liderini bir operasyonda aldılar,0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,11 saat önce,"valla uyanali 1 saat falan oldu, olay nezaman oldu bilmiyorumda, mesele soyle; bizim gidip netenyahu yu tutukladik demek gibi birsey :))",0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,11 saat önce,niye s400 aldik sorusunun cevabini bugun almis olduk heralde ?,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,13 saat önce,2. severim canadaya 27-30 bin profil taşıyorum oradan abd ye geciyor köprü profili bunlar .Aynen gardaşım gelişmiş ülkeler mal ucuzken heyvan gibi ülkelerine yatırım yapıyor alt yapı üst yapı. Bizim gibi mhal ve fakir ülkeler ise faizler ucuzlayıp sanayi ürünleri fiyat tavan olunca köprü yada asfalt yapar.,0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,11 saat önce,Sosyal medya sayesinde aphtal bir nezik yetiştirdiler. Hiç birşey bilmeyip çok şey bildiğini sanan .O yüzden cahil cesareti ile genc nesil 40 yaş üstüne mhal cahel sanıyor. Oysaki ülkede istatistik yapılsa yatırım mevzusunda bile 40 yaş üstü para kazanıyordur sadece.,0,2026-01-04 01:31:53,Ereğli Demir Çelik
taco ban,11 saat önce,"genclik buyuk oranda olu dogum agam, olay sadece para meselesinden cok daha fazlasi maalesef !?",0,2026-01-04 01:31:53,Ereğli Demir Çelik
Ferdi Ferdi,11 saat önce,Benim örneklemem sadece birisi idi .Aslında şu cümleyi o yüzden söyledim. ' Hiç birşey bilmeyip çok şey bildiğini sanan ' .Ağızlarına yuları takmışlar istedikleri her tarafa çekiyorlar,0,2026-01-04 01:31:53,Ereğli Demir Çelik
