username,date,comment,likes,scraped_at,source
Telegram da Alphajennyx Ile iletisime gecin,3 saat önce,"Uzun süre maddi belirsizlik yaşadım ve yatırım bana tehdit gibi geldi. 2025 ortasında detaylı analizle 6.850 USD yatırdım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC portföyü seçtim. Şüphelerim zamanla azaldı. Portföy 52.000 USD oldu. Tüm fonlar bankama aktarıldı. Güven kazandım. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynar.",0,2026-01-04 00:32:54,Garanti Bankası
Osman Coşkun,9 saat önce,Bunlar kafaya koymuş 2028 de 1000 lira olur bu kağıt.,0,2026-01-04 00:32:54,Garanti Bankası
Lion King,6 saat önce,12 Mart 200 lira sonrasına Allah kerim. 2028 diye bir hedef şuan yok. En geç 2027 Kasım da seçim var. Hisseyi 200 den sonra ki adima taşiyacak şey kredi kısıtlamalarının kalkmasi olacak. O da 2026 Temmuz dan sonra başlar. Yil sonunda 60 ay krediler acilir ve kredi limitleri artar. Mesela 300-400 bine 60 ay vade açilir. Bankalarin kredi genişlemesi de artar. Asil parayi o zaman kazanirlar. Seçimden önce bunlarin hepsi olacak yoksa KAZANAMAZLAR.,0,2026-01-04 00:32:54,Garanti Bankası
Hakan Karahan,13 saat önce,Abd Venezuelayi vurdu ulan iyiki gidiyor dedik,0,2026-01-04 00:32:54,Garanti Bankası
Gmz Dmr,12 saat önce,"sırada Colombia'da var..Maduro&quot;çatışmayı başlatıyoruz&quot; açıklaması yaptı..jeopolitik riskler arttıkça,malesef bizim borsanın oynaklığıda artıyor..dikkatli olmak lazım",0,2026-01-04 00:32:54,Garanti Bankası
Hakan Karahan,11 saat önce,Lion King haklısın ama bizim borsa zaten ip üstünde,0,2026-01-04 00:32:54,Garanti Bankası
Lion King,9 saat önce,Adamlar Maduro'yu 3 saatte almişlar bile :) biz enflasyona bakalim salla.,0,2026-01-04 00:32:54,Garanti Bankası
Telegramda Alphajennyx Ile iletisime gec simdi,21 saat önce,"Hayatım boyunca maddi stres yaşadım ve yatırım bana uzak geldi. Kaybetme korkusu ağır bastı. 2025 ortasında cesur karar alarak 13.900 USD yatırdım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC portföyü seçtim. Başta zorlandım ama büyüme hızlandı. Portföy 107.000 USD oldu. Fonlar bankama aktarıldı. Korku bitti. Finansal özgürlük gerçek. Bilgi sabır yapı kazandırır. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynar.",0,2026-01-04 00:32:54,Garanti Bankası
Ridvan Ak,02 Oca 2026 17:01,"Size iyi kazançlar 144 ü görünce sattım,yine her zamanki gibi bir ileri iki geri yapar asağıdan alırım dedim.Ama yine her zaman ki gibi ters düştüm",0,2026-01-04 00:32:54,Garanti Bankası
As Oz,02 Oca 2026 19:04,"kademeli alış, kademeli satış olmalı",0,2026-01-04 00:32:54,Garanti Bankası
Ercan Yilmaz,02 Oca 2026 15:41,Ptesi düşeceğini tahmin ediyorum Hep aynı hareketler,0,2026-01-04 00:32:54,Garanti Bankası
Lion King,02 Oca 2026 17:26,"İstanbul enflasyonu, bankacilik bugün ki hareket, tahvil fiyatlamasi ve Bofanin viopta short kapatmasi.. Bunlarin hepsini alt alta koyunca 0.70 civari bir enflasyon gelebilir.",0,2026-01-04 00:32:54,Garanti Bankası
Hilal akkol,02 Oca 2026 17:38,Sizin demenize pazartesi yükseliş devam eder,0,2026-01-04 00:32:54,Garanti Bankası
Lion King,02 Oca 2026 17:43,Viopta şuan 0.26 daha yukari aldilar. Özellikle bankalar canli devam ediyor. Bizim Pazartesi 153 işi olacak galiba..,0,2026-01-04 00:32:54,Garanti Bankası
Hüseyin Kerimoglu,02 Oca 2026 15:17,Sayın lion king rica etsem bugünü ve pazartesi gününü yorumlarmısınız nasıl durum? Teşekkür ederim saygılar,0,2026-01-04 00:32:54,Garanti Bankası
Lion King,02 Oca 2026 15:50,Enflasyon bizi terste bırakmazsa Pazartesi 153 lira gelir. Pazartesi viop açilişi belli eder diye düşünüyorum. Önümüzde ki tek belirsizlik Suriye de ne olacağı belli değil. İç siyasette şuan sakinlemiş durumda..,0,2026-01-04 00:32:54,Garanti Bankası
Lale Lale,1 saat önce,Gündemde bir sıkıntı olmazsa eğer sizin grafikte kısa vade tepe rakami kaç acaba?160-162 bulur muyuz?,0,2026-01-04 00:32:54,Garanti Bankası
Halil Halid,02 Oca 2026 15:08,149.70 kapanış,0,2026-01-04 00:32:54,Garanti Bankası
Halil Halid,02 Oca 2026 14:53,149.10,0,2026-01-04 00:32:54,Garanti Bankası
