username,date,comment,likes,scraped_at,source
ARDA POLAT,1 saat önce,2026 yılı yine altın faiz kazandıracak net,0,2026-01-04 00:56:38,Koç Holding
ARDA POLAT,1 saat önce,Altın uçuyor yine savaşlar yine başladı faizler artacak yine mejbur,0,2026-01-04 00:56:38,Koç Holding
ARDA POLAT,1 saat önce,Pazertesi günü -9 herkes hazır olsun,0,2026-01-04 00:56:38,Koç Holding
Ali kara,9 saat önce,Venezuela durumu borsaya nasıl etki eder hocalar,0,2026-01-04 00:56:38,Koç Holding
Gökhan Fidan,7 saat önce,Daha önceki etki ler neydi aynı etkiyi yapar çünkü saçma sapan Bir muz cumhuriyeti içinde olduğumuz için,0,2026-01-04 00:56:38,Koç Holding
Kıtırik Mutuko,5 saat önce,İran İsrail savaşı etki etmedi. Bu neden etsin ki?,0,2026-01-04 00:56:38,Koç Holding
Telegramda Alphajennyx ile iletisime gec simdi,02 Oca 2026 16:56,"Uzun yıllar maddi baskı hissettim ve yarınları düşündüm. Yatırım bana riskli bir adım gibi geliyordu. Paramı yitirmekten korktum. 2025 ortasında net karar verdim ve USD 11.300 yatırdım. Çeşitlendirilmiş kripto varlıklar BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC. Kısa sürede portföy USD 90.100 oldu. Kazançlar bankama aktarıldı. Finansal geleceğimi kontrol altına aldım ve akıllı yatırımın gerçek özgürlük olduğunu kanıtladım. Bilgi sabır ve düzen başarı getirir. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynuyor.",0,2026-01-04 00:56:38,Koç Holding
Adamın Dibi,02 Oca 2026 16:48,"Nette 6,8 milyon lot satıldı 5,2 milyon lotu bofa aldı. Nerdeyse bütün satılanı bofa aldı. Pazartesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker. Kurumsal yok yabancı yok 1 ileri 2 geri yuvarlanacağız.Bofa tek başına bist30 hisselerini bile çeviriyor",0,2026-01-04 00:56:38,Koç Holding
Kenan Semerci,02 Oca 2026 16:41,Maşallah maşallah uçmuş seni beğenmeyen utansın,0,2026-01-04 00:56:38,Koç Holding
Adamın Dibi,02 Oca 2026 15:58,"yatırımcı o hale geldiki biraz yükseliş gördüğü zaman sevinir oldu. Kchol son 1 senedir (-%5,46) kaybetirdi, son 2 senede getirisi sadece %23 . İki yılda faizden %100 e yakın brüt kazanç elde edildi. Borsada ağlanacak halimize güldük bu gün",0,2026-01-04 00:56:38,Koç Holding
Ercan Çakır,02 Oca 2026 15:38,2026 uğurlu gelsin hep yükselişler olsun hedef 500,0,2026-01-04 00:56:38,Koç Holding
Mehmet Aktug,02 Oca 2026 15:14,"her tarafın yeşil yaksa ne olur, pazartesi 170 e yolculuk edersin gene",0,2026-01-04 00:56:38,Koç Holding
Necati Başer,02 Oca 2026 13:19,Turkiyenin en büyük holdingi Koç mezara mı götüreceksiniz vebal almayın hissenize sahip çıkın Koç hol değeri bu değil hissedarlarinizi perişan ettiniz,0,2026-01-04 00:56:38,Koç Holding
Necati Başer,02 Oca 2026 12:49,Ali koç un olduğu yerden hayır gelmez şimdiye kadar hiç bir başarısı yok dede mirası yemekten başka,0,2026-01-04 00:56:38,Koç Holding
Vildan Eryılmaz,02 Oca 2026 11:44,Kchol almayın aldırmayın rezil bi hisse 1 sene çıkmaz,0,2026-01-04 00:56:38,Koç Holding
İsmail Üre,02 Oca 2026 12:25,Hocam varantını aldırdılar bana 80 kuruştan şuan 20 kuruş önerinz var mı bu durum hakkında,0,2026-01-04 00:56:38,Koç Holding
Halil Kamil Kayihan,02 Oca 2026 15:45,varanta bulaşma kardeşim,0,2026-01-04 00:56:38,Koç Holding
Onur Kılıç,02 Oca 2026 15:47,KİM ALDIRDI SANA KRALL VARANTINI,0,2026-01-04 00:56:38,Koç Holding
Serhan Karaman,02 Oca 2026 10:32,Şıan kac oldu anlık,0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,02 Oca 2026 10:44,"172,80",0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,02 Oca 2026 10:09,"Şuan artış %2 yarın ne olacağı belli, bu kağıdın karakteri bu. inşallah yanılırım.",0,2026-01-04 00:56:38,Koç Holding
TC Mehmet Alıcı,02 Oca 2026 12:21,Yarı 169,0,2026-01-04 00:56:38,Koç Holding
Al Tek,02 Oca 2026 08:42,Artık geri gelmden yürü bee olum,0,2026-01-04 00:56:38,Koç Holding
Fırat Kiziroğlu,02 Oca 2026 07:13,2026 borsa ucmuyacak acele etmeyin ilk altı ay yan kagıtlar gider anlamlı bir yabancı gelmeden dolasımdakı lot sayısı fazla olan bist 30 hisseleri düşer dıkkat sonra üzülmeyin)),0,2026-01-04 00:56:38,Koç Holding
Saffet Yaşarlar,02 Oca 2026 08:16,iyi o zaman bu bist 30 hissesi sat git zarar etme okurmu,0,2026-01-04 00:56:38,Koç Holding
Adamın Dibi,01 Oca 2026 21:23,"Biraz daha düşerse bu endeksde yancıları başlar bankasını satıyor diye haber çıkarmaya. yükseltip malı milletin eline verirler. 2 kere bunu yaptılar. çok oyalandı bu fiyatlarda, zamanı geldi yakında başlarlar sağda solda balon haberler",0,2026-01-04 00:56:38,Koç Holding
Onur Kılıç,01 Oca 2026 20:35,Arkadaşlar merhaba kısa zamanda 174 gorur ama onemlı olan 178 gecmesi oraya gelınce hemen buyuk satışlar gelıyor yarın guzel bır başlangıcla başlayıp guzel bıtırır ınsalah,0,2026-01-04 00:56:38,Koç Holding
Saffet Yaşarlar,01 Oca 2026 17:10,yazıklar olsun enflasyon yüzde 50 bir yıllık getirisi -8 oldu küfürmü yazalım,0,2026-01-04 00:56:38,Koç Holding
binboa Binboa,31 Ara 2025 22:22,Gitmez arkadaşlar bu kağıt gitmez tek giden şey ömrünüz olur bu yine gitmez,0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,31 Ara 2025 16:56,"Aracı kurumlar arttırıyorda arttırıyor hedefi, var mı arttıran !!! SPK sende bigün hesap verir misin acaba !",0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,31 Ara 2025 16:54,"Endeks çıkarken kıpırdamıyor, inerken ilk önce bu iniyor, böyle bir œ",0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,31 Ara 2025 16:53,"Şu hayatta çok az hata yapmışımdır, o hatalardan biride bu hisseyi almaktı. Artık O hata bir kez olur.",0,2026-01-04 00:56:38,Koç Holding
görkem tekin,31 Ara 2025 15:34,Beni ilgilendirmiyor zaten ben satmışdım böyle izlemek daha iyi sattın kurtulun bence daha güzel hisseler varr sattıpımdan beri 1 tl oynsdı sadece,0,2026-01-04 00:56:38,Koç Holding
Adamın Dibi,31 Ara 2025 13:27,Yılı eksi kapatıp final yap utanmazsan. Koç FB ye bulaştığından beri ne hisse nede FB nin yüzü gülmedi. Görünen oki %100 getiri hedefi olmasına rağmen çakıldı. Bizim borsada dev şirketler gitmiyor. Yan kağıtlar speklerle götürülüyor,0,2026-01-04 00:56:38,Koç Holding
Emre,31 Ara 2025 13:14,Yeni yılda bari yüzümüzü güldür a a s hissesi. Temettüye kadar beklicem sonrası Allah kerim,0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,31 Ara 2025 16:59,"İşte böyle kumar oldu buralar, temettüye kadar ne düşeceği ne olacağı belli deyil. Dahada düşerse acaba yeterince düştü, şimdi artar biraz daha bekleyeyim denir. Böyle bir &quot; KUMAR &quot;",0,2026-01-04 00:56:38,Koç Holding
Ahmet Soy,31 Ara 2025 12:29,Tahtacı degil suntacı,0,2026-01-04 00:56:38,Koç Holding
emre dikmen,31 Ara 2025 11:36,Gitmiyor yine,0,2026-01-04 00:56:38,Koç Holding
Adamın Dibi,31 Ara 2025 11:10,"sene başından beri getirisi %(-%8,11). Getiri yok götürüsü var. Ülkenin en büyük şirketleri borsada yükselmiyor.Borsada sadece bist30 da aselsan var kalanı yalan oldu.",0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,31 Ara 2025 10:32,"YİNE KOÇ, YİNE HAYEL KIRIKLIĞI, YİNE BOŞA GEÇEN BİR GÜN DAHA...",0,2026-01-04 00:56:38,Koç Holding
Emre,31 Ara 2025 10:52,"Yıl boşa geçti, hatta yıllar",0,2026-01-04 00:56:38,Koç Holding
Engin Demirci,31 Ara 2025 07:50,Pegasus aşırı alım bölgesinde hedef fiyat 385 şu anki fiyatı 193 ytd,0,2026-01-04 00:56:38,Koç Holding
Saffet Yaşarlar,31 Ara 2025 08:52,iyi git al burda işin ne..???,0,2026-01-04 00:56:38,Koç Holding
Mustafa Kral,31 Ara 2025 10:37,algici zararın çok dimi aldirtmaya çalışıyorsun hissesiyi ama bilmiyor sunn 6 güne 150 TL düşecek hisse zararın daha çok olacak,0,2026-01-04 00:56:38,Koç Holding
Baba Kemal,31 Ara 2025 07:33,Geliyor gelmekte olan,0,2026-01-04 00:56:38,Koç Holding
çağrı çelik,31 Ara 2025 11:13,DEDE TORUN SEV,0,2026-01-04 00:56:38,Koç Holding
