username,date,comment,likes,scraped_at,source
fvchj colli,42 dakika önce,"Maceram, çoğu insanın harekete geçmekten çok korktuğu bir dönemde Bitcoin'e 9.000 avroluk bir yatırımla başladı. Kendimden şüphe ediyordum ama aynı zamanda eylemsizliğin en büyük risk olduğunu da biliyordum. Bu adım 37.500 avroya çıktı, ama...",0,2026-01-03 13:32:10,Türk Hava Yolları
fvchj colli,41 dakika önce,+ 1.304 -3042.6 -80 mesaj.,0,2026-01-03 13:32:10,Türk Hava Yolları
Cenk obuz,46 dakika önce,Pazartesi birçok hisse kırmızı yakar altın uçar,0,2026-01-03 13:32:10,Türk Hava Yolları
Paslı Çivi,17 dakika önce,Bicittirol,0,2026-01-03 13:32:10,Türk Hava Yolları
Manjaros Borsa,1 saat önce,meşruiyet alana yes sir diyene bişey yapmıyor abd nebati,0,2026-01-03 13:32:10,Türk Hava Yolları
Serdal Baltutan,1 saat önce,Abd vurdu venezuellayı hadi buyur burdan yak,0,2026-01-03 13:32:10,Türk Hava Yolları
Nebati UZUN,2 saat önce,"Ha ha madur o halkı sokağa davet etmiş, nereden hatırlıyorum ben bunu yav , sıradaki gelsin. Ytd",0,2026-01-03 13:32:10,Türk Hava Yolları
Cuneyt Demirezenzen,1 saat önce,"💢 Artık bu kutuplaşmadan, bu birbirini şeytanlaştıran gergin iklimden ülkenin çıkması, hepimizin çok sevdiği Gazi Mustafa Kemal Atatürk'ün dönemi gibi kalkınmaya, zenginliğe yürümemiz lazım. 💢 Dünya devi olacağız, söz verdik Atatürk'e. Bunun yürüyüşünü 2026'da başlatıyoruz.",0,2026-01-03 13:32:10,Türk Hava Yolları
Cuneyt Demirezenzen,1 saat önce,Buna gore hareket et.,0,2026-01-03 13:32:10,Türk Hava Yolları
Atakan Atakan,53 dakika önce,Sıradaki kim kardes?,0,2026-01-03 13:32:10,Türk Hava Yolları
Cuneyt Demirezenzen,2 saat önce,Nebati sen hala ghicini yirt 2026 daha gozel olacak :))),0,2026-01-03 13:32:10,Türk Hava Yolları
Ahmet Çağırgan,2 saat önce,Onu zaten yırtmışlar,0,2026-01-03 13:32:10,Türk Hava Yolları
Nebati UZUN,2 saat önce,"2023, 2022 den 2023, 2022 den 2024,2023 den 2025, 2024 den daha iyi olduğu gibi mi papağanlar ülkesinde değişen bir şey yok. Ytd",0,2026-01-03 13:32:10,Türk Hava Yolları
Telegramda Alphajennyx ile iletisime gec simdi,2 saat önce,Yıllarca çaresizce mücadele ettim. Her maaşla idare etmeye çalıştım faturalar hiç bitmedi. Finansal geleceğim karanlık bir gölge gibi üzerimdeydi. Yatırım bana tehlikeli ve kaçınılmaz kayıplarla dolu bir tuzak gibi geliyordu. Birikimimi riske atmak istemiyordum korkum büyüktü. 2025 ortalarında derin araştırmalarla kendimi hazırladım. Kararlılıkla 22.000 USD yatırdım çeşitlendirilmiş kripto para varlıklarına BITCOIN GOLD SOLANA USDT XRP ETHEREUM LITECOIN ETC gibi. İlk günlerde şüpheler zihnimi bulandırdı güvenim sarsıldı. Dayanıklılığım test edildi ama pes etmedim. Zaman aktıkça mucize gerçekleşti yatırımım patladı. Portföyüm değeri dört katına ulaştı 176.000 USD oldu zaferle. Tüm fonlar anında banka hesabıma geçti. Korkularım silindi yerini güvene bıraktı. Finansal kaderimi ellerime aldım. Akıllı yatırımın özgürlüğün anahtarı olduğunu herkese gösterdim. Bilgi sabır ve disiplinli strateji başarıyı getirir. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynuyor.,0,2026-01-03 13:32:10,Türk Hava Yolları
Nebati UZUN,3 saat önce,MADUR O Bir dikdatör daha yok ediliyore.. ytd,0,2026-01-03 13:32:10,Türk Hava Yolları
Nebati UZUN,2 saat önce,Sırada ki gelsin. Ytd,0,2026-01-03 13:32:10,Türk Hava Yolları
Cuneyt Demirezenzen,2 saat önce,Baskanin duymasin:)),0,2026-01-03 13:32:10,Türk Hava Yolları
Eray Tan,3 saat önce,268 kapanış,0,2026-01-03 13:32:10,Türk Hava Yolları
Said Kamil Nurlu,5 saat önce,"Türk hava yolları, 100 milyar TL lik yeni yatırım planını açıkladı. İçerikleri şunlar; - Dünyanın en büyük hava kargo terminali - Günlük 500 bin kapasiteli ikram tesisi - Avrupa’nın en büyük geniş gövde motor bakım merkezi -İki yeni veri merkezi THY bu dev yatırımla 26 bin kişiye istihdam sağlaması yaratıcak. Sizce defter değerinin sadece 3/1 ine yakın iskontolu şekilde fiyatlayan piyasa bu yatırımlara nasıl bi tepki vericek ?",0,2026-01-03 13:32:10,Türk Hava Yolları
Telegramda Alphajennyx Ile iletisime gec simdi,10 saat önce,"Yıllarca parasal korkularla hareket ettim ve yatırım fikrini erteledim. Risk algım yüksekti. 2025 ortasında cesaret toplayarak 12.600 USD yatırdım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC portföyü seçtim. Başta tereddüt ettim ama süreç netleşti. Portföy 98.000 USD oldu. Fonlar bankama aktarıldı. Artık korku yok. Doğru yatırım kanıtlandı. Bilgi sabır yapı etkilidir. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynar.",0,2026-01-03 13:32:10,Türk Hava Yolları
Seref Yılmaz,11 saat önce,KATMR,0,2026-01-03 13:32:10,Türk Hava Yolları
Telegramda Alphajennyx ile iletisime gec simdi,13 saat önce,"Yıllarca maddi belirsizlikle yaşadım ve korkularım vardı. Yatırım bana uzak bir ihtimaldi. 2025 ortasında bilinçli adım attım ve 15.400 USD kullandım. Çeşitlendirilmiş kripto varlıkları BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC içerir. Zamanla portföy yükseldi ve 81.000 USD oldu. Tüm kazançlar bankama aktarıldı. Kontrolü ele aldım ve güçlendim. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı rol oynar.",0,2026-01-03 13:32:10,Türk Hava Yolları
Şahin Gürsel,14 saat önce,Bofa 580 milyonluk alış yapmış önümzüdeki hafta çıkartırlar gibi yukarı arada bişeyler kaparsak ne mutlu,0,2026-01-03 13:32:10,Türk Hava Yolları
Hasan Özkan,15 saat önce,Bu güne kadar endeksi aselsanla tuttular bundan sonrada thy ile ayakta kalacak endeks diye düşünüyorum kısa zamanda layık olduğu yere gelecektir yatırım tavsiyesi değildir,0,2026-01-03 13:32:10,Türk Hava Yolları
SÜLEYMAN HAN,15 saat önce,borsanın bu haftaki hareketi çok saçma 11 bine çekmeden yukarı gitmesi hiç sağlıklı olmayacak,0,2026-01-03 13:32:10,Türk Hava Yolları
Refaz Nelib,15 saat önce,Bende olsan önce 11.7k yapar ordan 11bine basar yeni mal almış adamı patlatırdım oyunvu olan uzun vadeci kardeşler için sıkıntı yok 2028 den evvel satmamak üzere.bize mal kitletecek sonra arada endeksi 11k ya çekecekler mal kitleme olmazsa 12k bile olur sonuçta ptesi güzel mal kitlerler ho ho Ho noel baba tr ye yeni geldi al bu kirazdan yaptıkları anda ver aşağı ver Allah ver. Düşme sülüman düşme git sasa al orda belki 5e sürme tezgahı yine yapar yılanoğlu erdemoğlu,0,2026-01-03 13:32:10,Türk Hava Yolları
SÜLEYMAN HAN,15 saat önce,valla bilemiyorum yükselmesine yükselecek borsa ama bi geri çekilme olmadan gitmesi beni işkilllendirdi bu bofanın alımı hiç hoşuma gitmedi cıtı takaslarını takip etmek lazım,0,2026-01-03 13:32:10,Türk Hava Yolları
Paslı Çivi,13 saat önce,bicittirol 250 mg sabah akşam al,0,2026-01-03 13:32:10,Türk Hava Yolları
Real Vatansever,16 saat önce,Şu an hakkı en az 600 dü en azz diyorum,0,2026-01-03 13:32:10,Türk Hava Yolları
Öylebirisi kral,16 saat önce,"3 yıldır alan için kendim için söylüyorum. 1500 TL olursa, kazandım diyeceğim gerisi boş fasa fiso...",0,2026-01-03 13:32:10,Türk Hava Yolları
Telegramda Alphajennyx ile iletisime gec simdi,16 saat önce,"Mücadele yıllarca. Finansal korku. Gelecek tehdit. Yatırım cesaret. 2025 aydınlık. 12.800 USD başlattım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM gibi. Güven az. Büyüme şok. 96.000 USD. Bankama indi. Güçlü oldum. Gelecek güvenli. Yatırım özgür. Bilgi sabır mucize. Çeşitlendirilmiş kripto para varlıkları gibi BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM. Finansal geleceğimi kontrol altına aldım. Bilgece yatırım özgürlüktür. Bilgi sabır yapı güçlüdür. Kullanıcı adım önemlidir.",0,2026-01-03 13:32:10,Türk Hava Yolları
Zaz jeveux,16 saat önce,Bu ya short açtı veya malsız kaldı veya eleman.,0,2026-01-03 13:32:10,Türk Hava Yolları
