username,date,comment,likes,scraped_at,source
haydar Haydar,28 dakika önce,Mudo her şeyi bıd bıdlayacak gibi duruyor.,0,2026-01-04 13:44:39,USD/TRY
SEDAT PARK OTEL BEYOĞLU,40 dakika önce,Simdi anladı nıs mı rei simin gücünü,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,kavimsizrzpcccğutannar,0,2026-01-04 13:44:39,USD/TRY
Telegram da Alphajennyx Ile iletisime gecin,1 saat önce,"Yıllarca geçim derdiyle yaşadım ve yatırım fikrinden korktum. 2025 ortasında detaylı analizle 12.200 USD yatırdım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC tercih ettim. Başta zorlandım ama büyüme güçlüydü. Değer 94.000 USD oldu. Kazançlar bankama aktarıldı. Özgürlük hissi arttı. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynar.",0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,"elin pettrlü,benimdedi la,trungg",0,2026-01-04 13:44:39,USD/TRY
ˆˆ ˆˆ,1 saat önce,kıs kanç donult,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,"Lejyonerler' kaybedecek,gizemli laflar,şarlatannnnn",0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,25yıldırniyegiremedingandille?,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,trounxcccğutannarrr,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,"h e r k e s ç ö k üy o r,h e r y e r e ,t a y y ar k a nnn d ıll egire medi.",0,2026-01-04 13:44:39,USD/TRY
mehettin pilavcık,1 saat önce,💨💨ssst.,0,2026-01-04 13:44:39,USD/TRY
Adnan Ceylan,1 saat önce,Yarın dolar avro parite ne olur,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,buamerikaiyiçe zappıtttı,0,2026-01-04 13:44:39,USD/TRY
mehettin pilavcık,1 saat önce,şu forumda hwe gün biri ishal oluyor ve durumunu da buraya yazıyorum sanki bağırsak forumu gibi ortam,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,"t r u p p p etr oll b e n i m d i y o r,v e z u ll ad aki, v a y a n n sınıseyirçiler",0,2026-01-04 13:44:39,USD/TRY
Cumamoto Muthishbıshı,1 saat önce,HAFTA SONLARI AVM YE KİMONO GİYİP GİDİYORUM HAVA SOĞUK TAKUNYA GİYEMİYORUM ZATEN İSHALİM,0,2026-01-04 13:44:39,USD/TRY
mehettin pilavcık,1 saat önce,neden ishal oldun ??,0,2026-01-04 13:44:39,USD/TRY
gau gau,1 saat önce,"ehh be muturrro abi,çiğgöfte yuğurupp,yiçektik,gittin.",0,2026-01-04 13:44:39,USD/TRY
Nebati UZUN,1 saat önce,"Altın,gümüş ve petrol düşecek, dolar zaten düşme trendinde, Borsa da sağlam hisse senetleri kazandıracaktır. Ytd.",0,2026-01-04 13:44:39,USD/TRY
haydar Haydar,1 saat önce,Evet abd haydut ama adamı çete lideri gibi alıp getirdi var bir tezgah. Narko ülkeler ve yöneticiler dikkat çekiçi,0,2026-01-04 13:44:39,USD/TRY
The BigLong,1 saat önce,bugün itibariyle doların reel değeri düşüşü hızlanacaktır. yani ABD borç vermeme oranı artacaktır. yaptıkları için artık ABD doları kullanımı azalacak brics gibi hikayeler beklenecek. pazartesi ons yükselişle tazelenecek.,0,2026-01-04 13:44:39,USD/TRY
