username,date,comment,likes,scraped_at,source
Yilmaz Turan,02 Oca 2026 10:09,Merhaba,0,2026-01-04 20:08:29,XAG/TRY
Enes Kalaycioglu,30 Ara 2025 13:29,Kapalıçarşıda külçe satışı yok kimsenin elinde kalmamış talep cok ya vezir olucaz yada rezil,0,2026-01-04 20:08:29,XAG/TRY
High Mind,28 Ara 2025 23:37,La bu ne anlamadım ben %10 cuma si di de %4 mü arttı?,0,2026-01-04 20:08:29,XAG/TRY
Halil İPEK,27 Ara 2025 08:41,alın satın demem anlasam zaten para kazanırım ama bu grfiğe bakarak hala yükselecek demek rus ruleti dolu boş oynamak gibi bişey. cesareti olup girenler ya kahraman olurlar ya perisan ytd,0,2026-01-04 20:08:29,XAG/TRY
Samet KaRa,12 Kas 2025 08:40,2225-2239 TL bekliyorum,0,2026-01-04 20:08:29,XAG/TRY
Samet KaRa,05 Kas 2025 16:31,şimdi alacağım düşecek onu bekliyor nalet,0,2026-01-04 20:08:29,XAG/TRY
Salih furkan Metin,27 Eki 2025 12:53,Gümüşü en uygun nerden almalı makas az olarak,0,2026-01-04 20:08:29,XAG/TRY
Ankara Ankaralı1976,29 Eki 2025 04:21,dünya katılım bankası,0,2026-01-04 20:08:29,XAG/TRY
mehmet kurtluş,04 Ara 2025 16:33,fibabank,0,2026-01-04 20:08:29,XAG/TRY
Hasan Karakaya,13 Eki 2025 14:01,La olum herkes altıncı mı gümüş daha çok kazandırıyor ya.,0,2026-01-04 20:08:29,XAG/TRY
Barış Polat,20 Eki 2025 23:15,Yıllık grafiğe bakmıyorsun sanırım 😊,0,2026-01-04 20:08:29,XAG/TRY
mete yılmaz,14 Kas 2025 14:50,baktın mı yıllık grafiğe,0,2026-01-04 20:08:29,XAG/TRY
Ömer Ergenekon,28 Ara 2025 17:39,Baktın mı ?,0,2026-01-04 20:08:29,XAG/TRY
