username,date,comment,likes,scraped_at,source
Serif Madanoglu,12 Ara 2025 08:35,YERİMİZİ ALALIM,0,2026-01-04 19:30:20,XAU/TRY
Rıdvan Çalık,22 Eki 2025 19:28,4010 da gelen cesaret teşekkürler,0,2026-01-04 19:30:20,XAU/TRY
Yunus Emre Bayramça,19 Eki 2025 21:50,Kumarhane kaçta açılıyo,0,2026-01-04 19:30:20,XAU/TRY
kucukyatirimci34,08 Eki 2025 05:00,Gel gel yapıyorlar düşme,0,2026-01-04 19:30:20,XAU/TRY
kucukyatirimci34,07 Eki 2025 23:07,Kulları yemliyorlar,0,2026-01-04 19:30:20,XAU/TRY
Hakan Mertoğlu,06 Eki 2025 20:21,Rüyamda gördüm çok önemli Türkiyede altın yastık altına gidiyor diye kuyumcudan Alınan Altın vergi gelicek Bankadan alınan gıramda makas azaltılacak çünki yastık altına giden altın sistemden çıkıyor rezerv kaybı yanlız rüyamda gördüm benim rüyalar gerçek oluyor,0,2026-01-04 19:30:20,XAU/TRY
Hakan Mertoğlu,06 Eki 2025 20:14,Yarın gıram 5.475 lira ile 5.500 görme ihtimali kuvvetli cumaya kadar yüzde yüz olur benim analizim yatırım tavsiyesi deyil 3 günlük çin piyasa tatili bitti Yarın çin tarafında büyük alımlar gelicek Yarın yeni bir rekor tazeleyecek altın.,0,2026-01-04 19:30:20,XAU/TRY
Rıdvan Çalık,29 Eyl 2025 14:01,Buradn alınır mı,0,2026-01-04 19:30:20,XAU/TRY
Hakan Mertoğlu,06 Eki 2025 20:09,Ben cumaya kadar gıram altının 5.500 olacağına yüzde 100 inanıyorum,0,2026-01-04 19:30:20,XAU/TRY
Hakan Mertoğlu,06 Eki 2025 20:14,Seni bilmem ben aldım,0,2026-01-04 19:30:20,XAU/TRY
kucukyatirimci34,07 Eki 2025 23:06,saf olma,0,2026-01-04 19:30:20,XAU/TRY
Taner Pakben,10 Eyl 2025 05:16,"Sarıkafanın ülkesi batıyor. Mutlaka diğer ülkelerden çok para kazanması lazım. Sömürü düzenini açıkça arttırmaya çalışıyor, yoksa saldıracak sağa sola kudurmuş bir hayvan gibi.",0,2026-01-04 19:30:20,XAU/TRY
Ozkan Fenasi,29 Tem 2025 08:07,Fed'in yarın faiz indirimi ne gidebilecegi beklentisi olan ekonomistler var boyle bir şey olma durumunda altin yukari sert gider deniliyor bu ihtimali goz onune alarak bu guun alacak olanlar en azindan bu ihtimalle karşı alım yapılması mantikli olur.,0,2026-01-04 19:30:20,XAU/TRY
Orhan Öztürk,20 Kas 2025 16:36,Öyle bir ihtimal yok -0-,0,2026-01-04 19:30:20,XAU/TRY
Ozkan Fenasi,17 Tem 2025 13:42,Suriye hava sahasi ile iran hava sahasinda hic ucus yok her an her sey olabilir,0,2026-01-04 19:30:20,XAU/TRY
Adem Baba,01 May 2025 05:41,altın uzun vade işi dünya ekonomi liderleri ortak hareket ediyor birileri oynuyor ya kripto yada borsa vakti olur ytd,0,2026-01-04 19:30:20,XAU/TRY
kucukyatirimci34,21 Nis 2025 00:44,Gece gece soyulduk,0,2026-01-04 19:30:20,XAU/TRY
Cod Name GhosT,18 Nis 2025 14:57,Merkez bankası elbet altın satmayı bırakmak zorunda kalacak ozaman göreceğim ben altını nasıl tutacaklar.,0,2026-01-04 19:30:20,XAU/TRY
İzmirli İzmirli,17 Nis 2025 11:31,Faiz kararı çok etkilemez dünya ons alıyor ytd.,0,2026-01-04 19:30:20,XAU/TRY
Taygun Sonat,16 Nis 2025 04:49,Ne olursa olsun hisseden ilerlemek daha fazla kar getiriyor bana,0,2026-01-04 19:30:20,XAU/TRY
Anuri dere,02 Nis 2025 23:32,aslan gibi emtia !!..ytd,0,2026-01-04 19:30:20,XAU/TRY
Ali Galip Özel,27 Oca 2025 19:39,Ons altın olarak yatırım yapmak mı yoksa kulpsuz ata lira olarak yatırım yapmak mı daha mantıklı?,0,2026-01-04 19:30:20,XAU/TRY
Ertugrul Ozarna,16 Nis 2025 15:17,ons altın,0,2026-01-04 19:30:20,XAU/TRY
kucukyatirimci34,10 Ara 2024 19:19,Suriye kurtulsun yeterki altın dolar herşey artsa ne olur bi dünyanın en büyük ülkesiyiz nasıl olsa,0,2026-01-04 19:30:20,XAU/TRY
Borsa Kaplanı,30 Eyl 2024 12:56,donunuza kadar alacaklar 🚨,0,2026-01-04 19:30:20,XAU/TRY
Burak Erkan Türkileri,11 Eyl 2024 17:02,2850 olursa bozarım,0,2026-01-04 19:30:20,XAU/TRY
Mr Jeomorfolog,22 Tem 2024 15:24,bu fiyatlar iyi,0,2026-01-04 19:30:20,XAU/TRY
MERCEDESxxBMW,20 Mar 2024 21:33,"Sapıttı sanırım -99,86% nedir",0,2026-01-04 19:30:20,XAU/TRY
HAMSİ GEMİSİ,29 Oca 2024 08:30,Altın S1 sertifikasının kısaltılmışı nasıl arkadaşlar,0,2026-01-04 19:30:20,XAU/TRY
Erhan Gülşen,14 Nis 2024 10:05,yok ..yazdım ekler misiniz diye bence sizde yazın.yardımdan yeni hisse ekleme yeri var .,0,2026-01-04 19:30:20,XAU/TRY
Erhan Gülşen,14 Nis 2024 10:07,buldum varmış .İstanbul altın Serfitikası yazın çıkıyor,0,2026-01-04 19:30:20,XAU/TRY
Ali Karaman,31 Eki 2023 22:13,seans kaçta açılıyordu,0,2026-01-04 19:30:20,XAU/TRY
Ali Karaman,31 Eki 2023 22:12,ne zaman açılıyor,0,2026-01-04 19:30:20,XAU/TRY
Hakan Demir,19 Eki 2023 22:39,Bankadaki gerçek olmayan ekran altınlaeının gerçekle alakası yoktur herkes altınını eline almalı inanmayın ekranlara yok öyle bir altın gerçek altın alın yazıktır,0,2026-01-04 19:30:20,XAU/TRY
Şeker Çocuk,05 Ağu 2023 19:34,Küçük düşüşleri olsada yükselişe engel durumlar çok zayıf görünüyor. Yavaş yavaş yukarı gidecektir. ytd,0,2026-01-04 19:30:20,XAU/TRY
zafer dalgın,18 Tem 2023 14:37,Evet şuan düştü bak,0,2026-01-04 19:30:20,XAU/TRY
kuzu bereket,18 Tem 2023 12:31,düşer mi?,0,2026-01-04 19:30:20,XAU/TRY
kenan gunsay,07 Haz 2023 13:30,nerden aliyoz bunu,0,2026-01-04 19:30:20,XAU/TRY
MMORPG Türkiye,05 Nis 2023 13:34,40 yapar,0,2026-01-04 19:30:20,XAU/TRY
Madame Moroucco,19 Mar 2023 09:10,bu 37.834 ne oluyor dolar mı ons/kilo hesabı mı?,0,2026-01-04 19:30:20,XAU/TRY
Süreyya Song,19 Mar 2023 15:07,"TL 37.834..... Altın fiyatı dolar olarak 1988,77 x 19(gibi) 37800 TL eder. Ons",0,2026-01-04 19:30:20,XAU/TRY
yatirimcibaykus,22 Oca 2023 06:53,Ons'da 2011-2020 yılları arası oluşan fincanın kulbu 3 yıldır biriken enerji ile birlikte oluşmak üzere; düşen enflasyon verisi ile beraber sıkılaşmada yavaşlayacak olan FED ile beraber buradan kısa zaman içerisinde %45 artış ile 2800$ seviyelerini görmesini beklerim. dolar/TL'nin de kontrollü baskı altında tutulacağı bu dönemde altın toplamak mantıklı gözüküyor. yatırım tavsiyesi değildir.,0,2026-01-04 19:30:20,XAU/TRY
Ozan Ox,08 Oca 2023 10:31,Güneş balçıkla sıvanmaz,0,2026-01-04 19:30:20,XAU/TRY
Can Kılınç,06 Oca 2023 07:55,Bu dönemde altın almak mı mantıklı dolar mı?,0,2026-01-04 19:30:20,XAU/TRY
oktay demiray,09 Kas 2022 12:08,çeyrek düşer mi kısa vadede 1600den aşağı?,0,2026-01-04 19:30:20,XAU/TRY
crazyvillage village,02 Kas 2023 18:39,3250 olmuş 👍,0,2026-01-04 19:30:20,XAU/TRY
BEGINNER STOCKBROKER,03 Kas 2022 09:59,MERHABA ALTIN SPOT NERDEN ALINIR ACABA ? BEN GRAM ALTIN BİLİYORUM SADECE BUNU BİLMİYORUM,0,2026-01-04 19:30:20,XAU/TRY
Murat Gezgin,27 Kas 2022 15:10,bankadan alabilirsin,0,2026-01-04 19:30:20,XAU/TRY
Deli Bedri,08 Eki 2022 22:39,merhaba arkadaşlar xau satış saati varmı yeni aldım bilmiyorum,0,2026-01-04 19:30:20,XAU/TRY
Can Kılınç,16 Eyl 2022 15:53,Merhaba,0,2026-01-04 19:30:20,XAU/TRY
Can Kılınç,15 Eyl 2022 10:27,1 ay süreli altın alınır mı ?,0,2026-01-04 19:30:20,XAU/TRY
ozi ozi,04 Eki 2022 06:16,"bir ay süreli, senin olmayan bir payala alınmaz",0,2026-01-04 19:30:20,XAU/TRY
Dikiştutmaz Sabri,20 Mar 2024 19:34,"1 ay süreyle yatırım mı olur, alış satış farkına değmez",0,2026-01-04 19:30:20,XAU/TRY
Kamber Dincioglu,15 Eyl 2022 07:57,arkadaşlar sizden bir bilgi yardımı isteyecağim uzun vadede hangi yatırım aracına yatırım yapmalıyım Dolar/euro/altın lütfen yorumlarınızı bekliyorum. Teşekkürler şimdiden :),0,2026-01-04 19:30:20,XAU/TRY
Ramis ÖZÇELİK,02 Eki 2022 04:36,Dolar,0,2026-01-04 19:30:20,XAU/TRY
Sedat Varcin,06 Eki 2022 07:57,hepsi risk,0,2026-01-04 19:30:20,XAU/TRY
Yiğitalp Ayhan,14 Eyl 2022 21:02,Piyasada gram altın 1.000 TL'de iken sorduğumda 1.010 TL'den alıyorum1.016 TL satıyorum diyor böyle bir şey var mı kur farkını anlıyorum fakat kur farkını uygulamadan önce altını piyasanın 10 TL üstünden hesaplıyor?,0,2026-01-04 19:30:20,XAU/TRY
Barış Erdilmen,08 Kas 2022 23:36,Maalesef paketli veya çekme 24 ayar gram altını kuyumcu dan alırsan ekrandaki fiyattan farklı olur. Kuyumcunun kaarı vardır içinde.,0,2026-01-04 19:30:20,XAU/TRY
Yiğitalp Ayhan,14 Eyl 2022 14:37,Yakın zamanda kuyumcular altın alanınız veya satanınız oldu mu piyasanın ne kadar üstünden veriyor veya ne kadar altından alıyor,0,2026-01-04 19:30:20,XAU/TRY
Ferdi Öksüz,14 Kas 2022 15:33,cuma günü 980 TL den aldım gram,0,2026-01-04 19:30:20,XAU/TRY
Dikiştutmaz Sabri,20 Mar 2024 19:34,sana gümüş vermişlerdir 980e altın nerede var hamşo,0,2026-01-04 19:30:20,XAU/TRY
Ruzgar Rovinowitz,21 Tem 2022 16:15,"Altın teknolojide kullanılan çok iyi bir iletken, daha iyi bir maden bulunmaz ise yükselişi durdurulamaz.Geri dönüşümü zor.",0,2026-01-04 19:30:20,XAU/TRY
Berat Üstündağ,12 Tem 2022 12:26,Yön nereye,0,2026-01-04 19:30:20,XAU/TRY
JOKER Joker,25 May 2022 10:26,1 ay sonra 1.300 TL,0,2026-01-04 19:30:20,XAU/TRY
Ruzgar Rovinowitz,27 Haz 2022 07:06,1 ay sonra 950 anlıyorsun bu işlerden kral :),0,2026-01-04 19:30:20,XAU/TRY
Fırat Demirel,22 May 2022 15:13,"Merhaba arkadaşlar Annemin altın hesabımda 28,87 XAU yazıyor bu kaç tl yapıyor internette baktık ama anlamdık bilen varsa yardımcı olabilirmi.",0,2026-01-04 19:30:20,XAU/TRY
JOKER Joker,25 May 2022 10:26,"28,87 çarp 950 ile",0,2026-01-04 19:30:20,XAU/TRY
Nevzat Ylmz,17 Haz 2022 14:16,Neyini anlamadin be kardesim banka gram altini kaca bozuyorsa elindekini carp onu cikan sonuc senin paran,0,2026-01-04 19:30:20,XAU/TRY
sef sis,12 May 2022 08:28,arkadaşlar target fx faaliyetini durdurmuş nerede anlık işlem yapabiliriz bir tavsiyeniz olurmu?,0,2026-01-04 19:30:20,XAU/TRY
Fatih Aydinhan,14 Nis 2022 04:58,Son 50 yıllık grafige göre altın gramı 2027 yılında 7 bin TL olacak.,0,2026-01-04 19:30:20,XAU/TRY
JOKER Joker,25 May 2022 10:27,3. Dünya savaşı çıkacak ve ons altın 10 bin usd olacak diyor kitaplar,0,2026-01-04 19:30:20,XAU/TRY
