text,label
"Beklenmedik siyasi bir olay olmadığı sürece... hisse yükselmeye devam edecek. Artı olarak daha pozitif birsey olurda banka hissesi yabancıya satılırsa zaten tahmin edemeyeceğimiz yerlere gelecek.. Şuan akbank , portföylerde banka bölümü olarak çekirdek hisse",Piyasa Trend/Tahmin
"Venezuela,Colombia bombalanmaya başkandı.., Venezuela lideri,&quot; silahlı çatışmaya geçiyoruz &quot; ifadesini kullandı..jeopolitik riskler yine artıyor..Bizim borsamız da her şeyden nem kaptığı düşünüldüğünde,dikkatli olunması gereken bir döneme girildiği kesin..",Genel Bilgi/Durum
aman aman tamda rayına girecek akbank bahar sonuna kadar yükselecek diye bugünleri bekledik,Genel Bilgi/Durum
"Pazartesi enflasyon düşük gelirse beklenti zaten satın alınmıştı deyip verirler hisseyi,enflasyon yüksek gelirse zaten verirler hisseyi hertürlü sonuç düzeltme olur Pazartesi gibi geliyor bana.Koca bir yıl %5 yapana kadar canı çıktı 2026 da 1 günde %5 le başladı ne kadar ilginç...",Risk ve Haber Analizi
borsa haram bankalar haram faiz diye bir zıkkım var o HARAM uzak durun düşer paranızı yerler 90 ı geçemiyor 90 altında kaldığı sürece 40 TL'ye düşer,Genel Bilgi/Durum
"Evet malda kalan dostlar formdaşlarım burdamısınız.Millete gaz verme günaha girersin diyen teknik analiz piyasa döngüsü bilmeyenler ya sizler sizlerde buradamısınız.Geçenlerde yarı kâr realizasyonu yapıp(çıkış 70.40'dı)bir dairemizi almıştık. Allah herkese nasip eder inşallah Gene ısrarla hedefine ulaşamayan malda kalmalı. Hedefine ulaşan hedefi her ne ise ev, araba, arsa tarla dükkan her neyse almalı.Aksi bir haber çıkmazssa turp heybe siyasi gelişme olmazssa önümüzdeki hafta enflasyon%1'in altı gelirse merkez bankası faiz indirimi güçlenir ve satın almalar sertleşir trent yukarı",Risk ve Haber Analizi
borsada para kazandığım tek hisse bu bunun dışında çemtaş Karsan Netaş gibi dandik hisler de çok para kaybettim ama neredeyse zararlarım hep bu akbank'tan aldım hesabımda zaten akbank'ta emekli maaşım da yatırım tavsiyesi değildir,Alım-Satım Niyeti
"Net işlemde 18,5 milyon lot satıldı 5,2 milyon lotu bofa aldı. P.tesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker. Kurumsal yatırımcı yok yabancı yok bir ileri 2 geri sürünmece",Genel Bilgi/Durum
Yükselidi diye seviniyoruz aslında borsada ağlancak halimize 1 günde olsa güldük.Hisse daha gördüğü zirvesine bile gelemedi diğer özel bankalar 3 kere yeni zirve yaptı bu kadar zamandır. 100TL hedef fiyat veren kurumlar var .Olurda borsa bu yıl çoşarsa buda arada gider yabancı gelirse tabii yoksa işi zor,Hedef Fiyat Sorgulama
Akbank güzel yerlere gelecek. elinizdekileri satmayın ama sabredin,Genel Bilgi/Durum
