text,label
AFS FONU - PORTFOYU ABD İLAÇ SEKTÖRÜ ve SAĞLIK HISSELERI: DEVELUASYON VE DÖVİZ DALGALANMALARINDAN DA KORUNMUŞ OLURSUNUZ,Genel Bilgi/Durum
"yarın bofa cuma günü bist30da topladığı başta bankalar akbnk,ykbnk, kchol ve thyao'u boşaltarak endeksi ciddi aşağı çekmek için elinden geleni yapar. Venezüella bizi sınırlı etkiler bence. Ama kalkıp irandaki gerilime müdahale ederse o zaman daha çok etkilenir borsa. Ancak yabancı ve kurumsallar borsaya gelmezse endekste trade in devam eder hisse bazlı yükselişlere devam eder. 1 ileri bir geriye devam ederiz",Piyasa Trend/Tahmin
Bofa sabah sazanlari avlar yüksekten actirir kitler geçer :)),Genel Bilgi/Durum
Altını olan için hiç sıkıntı yok yön belli bistte olan düşünsün :))),Genel Bilgi/Durum
2 yıldır alaturka tuvalete sciyordum evi taşıdım klozete sçınca kendimi zengin hissettim. Bu duyguyu hep AVM lerde yaşıyordum. Zenginlik demek böyle bir şey. Gtü bile değerli,Genel Bilgi/Durum
Bist yarin ne olacak ulannn cvp yazın.,Genel Bilgi/Durum
İmam çıkmadan borsadan uzak dur loooo,Genel Bilgi/Durum
Bist düşsün ecik full nakitteyim. Kchol bim bekliyorum. Başka vsr mi fırsat hissesi..,Genel Bilgi/Durum
Bist formu diye bisey varmış ilk yorum dikikler,Genel Bilgi/Durum
"Yarın kredi cek gel, büyük ucucak BIST, kacirma, ytd",Genel Bilgi/Durum
dötü yiyorsa trımpa bişey desin bakalım,Alım-Satım Niyeti
"Savaş ganimeti venezuala ile birlikte doların dxy endeksi 98,42 Bu daha başlangıç tango başlıyor",Risk ve Haber Analizi
eey tramp derse borsa ex olur,Genel Bilgi/Durum
niye begenmedin la hissenin grafiğine baktın mı,Genel Bilgi/Durum
Kerkük’te neler oluyor? Türkiye Arap ve Kürtlere daha fazla yardım ediyor. 1991 yılından itibaren Türkmenler ticari olarak hiç desteklenmedi. Türkiye’nin en büyük markalarının Irak bayilikleri Türkmenlere değil Kürtlere ya da Araplara verildi. Halen de öyle devam ediyor.,Hedef Fiyat Sorgulama
evet borsa İstanbul'da haftaya 13 bekliyoruz ordan 7000 kadar düşüş,Piyasa Trend/Tahmin
