text,label
2. severim canadaya 27-30 bin profil taşıyorum oradan abd ye geciyor köprü profili bunlar .Aynen gardaşım gelişmiş ülkeler mal ucuzken heyvan gibi ülkelerine yatırım yapıyor alt yapı üst yapı. Bizim gibi mhal ve fakir ülkeler ise faizler ucuzlayıp sanayi ürünleri fiyat tavan olunca köprü yada asfalt yapar.,Hedef Fiyat Sorgulama
Altın madenciliğin aşamalarının ilki olan mümkün kaynak: olası kaynak yani potansiyel kaynak olarak da anılır. borsada bu durumun hisseye etkisi iyimser nötr olarak yansır. ikinci aşama ise Görünür kaynak olarak isimlendirilir. bu aynı zamanda kanıtlanmış kaynak diye de anılır. Eregli altın madeni ile ilgili şu an ikinci aşamanın tespiti sürüyor. firmadan yapılan açıklamalardan anladığım kadarıyla 2026 yılı ortalarında bu aşama tamamlanmış olacak. Bu durumda olumlu sonuçlar gelmesi durumunda hisse işte o zaman altın madeni ile ilgili fiyatlama yapar. üçüncü aşamaya ise kesin ve isletilebilir rezerv deniyor. Her şey olumlu olursa bile süreç uzun. şu an hissenin fiyatında altın rezervi tamamen hisseye olumsuz yansımış durumda. altın haberi olmasaydı hisse tahminen 29 30 bantlarinda olabilirdi.,Risk ve Haber Analizi
Senin şuan konuştuğunu büyükler 2 sene önce yemiş yutmuş fiyatlamış oluyor. TEKRAR EDİYORUM ALTIN MADENİ İŞ BOŞ İŞ.,Genel Bilgi/Durum
Ferdi Ferdi tam okumalısın süreç uzun ve fiyat içinde değil hatta ters tepti onu belirttim yani altın için henüz çok erken o bizi bu hale getirdi zaten. haber dağ fare dogurdu gibi geldi yatirimciya,Genel Bilgi/Durum
Ağa artık altın madeni konuşan birini görünce kusasım geliyor .,Risk ve Haber Analizi
İnsanlar sanıyorki kapital kendini yok edecek :) .Dünyada savaslar başlayacak Abd kapital sistemi mahvolacal borsaları çokecek altın gmus habere yükselecek. Tam parca parca değerli metal satıp borsadan mal toplama zamanı. Böyle durumlar her zaman oldu .Körfez savalaro ayaklanmalar vs. Dobla gardasım dobla .Mal cosukuda yavaş yavaş satılır düşen ise yavaş yavaş doplanır. Boş yapmayın. Bu olaylar insanların Türkiyede 100 defa dünyada ise 10 defa basına geldi. Hep kandırıldınız yine kandırılacaksınız,Alım-Satım Niyeti
abi senin gibi düşünüyorum ondan dayak yedim bu son haber bana umut verdi eregli 30 a gider dedim ama bist 30 geri gelecekti bir kumar oynadım malı kafama yedim. bist 30 alda olsun daha ferah giideriz bence ytd,Hedef Fiyat Sorgulama
Keşke vallahi ona göre dobluyorum ikili dip düşünüyorum ve hatta bankof 17 lira hedefi bile göze aldım.,Hedef Fiyat Sorgulama
2024 kapanış fiyatı 24.18. 2025 kapanış fiyatı 23.82 bir yıllık kazanç -2 pardon bu kazanç olmuyor kayıp diyeyim enflasyon zararını da içine koyarsan bunun -45 leri bulur zarar herhalde,Hedef Fiyat Sorgulama
Bu ülkede bana bir güzel gelişme söyler misin de eregli yükselsin.zirve ederi 32-35max.oda süper bir haberde bence:) y.t.d.,Hedef Fiyat Sorgulama
Şimdi bist 30 12500 de 11700 e düşse 80 puan eder eee adamlar vade sonu viop 30 u 12209.5 değmeden kapadı .viop kaç 13100 de.bakar mısın adamlar neyi ayarlıyor.bist 30 düştüğünde örnek 3 hafta sonra 12209.5 da değip viop 30 uda tamamlayacak.bakarmısın uyanıklara:)dogru mu hocam?y.t.d.,Hedef Fiyat Sorgulama
"yukseldimi, 2022 dede bu fiyatta idi ? :)))",Hedef Fiyat Sorgulama
aynen abi:)) genel hisseler hacümsiz yükselmiş. Çakarlarsa şaşırmam:)),Genel Bilgi/Durum
bunu hiç ellemiyeceklerse çıkarsınlar bist 30 dan .bist 30 12500 olmuş hiç ışık yanmıyo alanı yok satanı yok.arçelik vestel gibi bunu da atarlar az kaldı bence:)y.t.d.,Hedef Fiyat Sorgulama
ne adi hisseymişsin parayı hic ettin pc tahtacı karanlıktada düşürki içimden geçenleri hak edesin ak,Genel Bilgi/Durum
BIST in değil dünyanın en anlamsız ve boş hissesin sen eregli,Genel Bilgi/Durum
bugün yeşil mum yakacaklar belli bist 30 da haftaya cuma tahminen 12160 ya değdirirler veya pazartesi gibi y.t.d.,Hedef Fiyat Sorgulama
zaten bist 30 da12080 görülmek zorunda aylar geçsede nereye gidiyon:)endekste ytd,Hedef Fiyat Sorgulama
evirip çevirip her daim endeksin altında kalan ve borsa ile hiç bir alakası olmayan malll,Genel Bilgi/Durum
"Türkiye brüt borç stoku açıklandı 564,9 milyar dolar .GSMH sine oranı yüzde 37 lerde . Şöyle diyeyim Japonya yüzde 250 Hollanda yüzde 230 italya yüzde 130 abd yüzde 150 . Sürekli enflasyon olan dünyada ucuz para bulupta yatırım yapamayan hukumetler mhalmış sanırım. Memleket havalimanını bile aon 20 yılda gördü .Ulem memlekete dogalgaz alt yapısı bike yeni çekildi be .Elektrik telleri yeni toprağın altına alındı ya. Len bu memleketi 100 yıldır nasıl yönetmiş bu mhal olu mhallar",Hedef Fiyat Sorgulama
Yabancı yatırımcı 4 haftadır hisse alıyor 284 milyon dolar hisse senedi alışa gerçekleştirildi diyor televizyonda,Hedef Fiyat Sorgulama
"24,20 ye kitlediler hisseyi endeks artı 2 yine endeksin altında kaldı adi şirket",Hedef Fiyat Sorgulama
hem okuyor yetmiyor bir de üstüne cevap yazıyor sonra gelip kafa ütüleme diyor..sanki zorla okutup zorla cevap yazdırıyorlar..hisseyi alıp taşıyan insanın kendinden başka herşeyi suçlaması gibi..büyü biraz büyü..2.5 yıl oldu daha 1 adım öteye gidememişsin..,Genel Bilgi/Durum
"2.5 yıldır ağlıyorlar ilk sattığım eregli'nin parası aylık % 7,5 faiz alıyor ama hala akıllanmadılar..biraz ümit ver istediğin kadar taşıt..",Genel Bilgi/Durum
1 yıl üstü tahcile yatır paranı..seçimlerden önce faizleri sert düşürme yoluna girerlerse dövize geç devaülasyonda kademe kademe dövizini sat hisseye geç..akp gittikten sonra da hisselerine sahip çık sakın iyi kar ettim deyip satma çünkü yükselişi uzun soluklu olacak..yapabilecek başka da bir şey yok zaten..,Piyasa Trend/Tahmin
"Vay arkadaş 24,22 e sevinir hale geldik hissede.",Hedef Fiyat Sorgulama
Citiko bu çagatay sıra dışı mı olmuştu bunların hangisi hangisiydi hatirlamiyorumda ferdi nin dediği gibi bunlar foruma tebelleş olduğunda tarihi zirve yapıyor eregl hadi bakalım :),Alım-Satım Niyeti
