text,label
12 Mart 200 lira sonrasına Allah kerim. 2028 diye bir hedef şuan yok. En geç 2027 Kasım da seçim var. Hisseyi 200 den sonra ki adima taşiyacak şey kredi kısıtlamalarının kalkmasi olacak. O da 2026 Temmuz dan sonra başlar. Yil sonunda 60 ay krediler acilir ve kredi limitleri artar. Mesela 300-400 bine 60 ay vade açilir. Bankalarin kredi genişlemesi de artar. Asil parayi o zaman kazanirlar. Seçimden önce bunlarin hepsi olacak yoksa KAZANAMAZLAR.,Risk ve Haber Analizi
Adamlar Maduro'yu 3 saatte almişlar bile :) biz enflasyona bakalim salla.,Risk ve Haber Analizi
"İstanbul enflasyonu, bankacilik bugün ki hareket, tahvil fiyatlamasi ve Bofanin viopta short kapatmasi.. Bunlarin hepsini alt alta koyunca 0.70 civari bir enflasyon gelebilir.",Risk ve Haber Analizi
Viopta şuan 0.26 daha yukari aldilar. Özellikle bankalar canli devam ediyor. Bizim Pazartesi 153 işi olacak galiba..,Hedef Fiyat Sorgulama
Enflasyon bizi terste bırakmazsa Pazartesi 153 lira gelir. Pazartesi viop açilişi belli eder diye düşünüyorum. Önümüzde ki tek belirsizlik Suriye de ne olacağı belli değil. İç siyasette şuan sakinlemiş durumda..,Risk ve Haber Analizi
Halil Halid bey nasıl alımlar öndemi hala teşekkür ederim saygılar,Alım-Satım Niyeti
"ortalama bankalar fiyatlamada yüzde 3 ü geçti,en nazlı bu gidiyor..inşallah yüzde 4 lere gelir bugün",Genel Bilgi/Durum
"1,5 sene olmuş anamızın kolundaki bilezik %100 gitmiş bu ancak 1,5 sene önceki fiyatından %10 kar yaptırabildi, bilmiyorum böyle enflasyon ülkesinde insan kağıdı %2 yapınca da sevinemiyor ki.",Risk ve Haber Analizi
"Bofa 800k, A1 300k aldi, Yatirim finansman 550k satti. Toplamda 570k para girişi var.",Genel Bilgi/Durum
Sayın lion king aynen öyle artık kimsede güven bırakmadılar hep zarar hep zarar bıktırdı altına gümüşe fona para yatıranlar kazandı biz moral hergün bozuk baktık ve yorulduk üzüldük sizce bugün ve özellikle pazartesi günü hisse ićin olumlu olurmu rica etsem bilgi verir misiniz teşekkür ederim saygılar,Piyasa Trend/Tahmin
