text,label
Rüyamda gördüm çok önemli Türkiyede altın yastık altına gidiyor diye kuyumcudan Alınan Altın vergi gelicek Bankadan alınan gıramda makas azaltılacak çünki yastık altına giden altın sistemden çıkıyor rezerv kaybı yanlız rüyamda gördüm benim rüyalar gerçek oluyor,Alım-Satım Niyeti
Yarın gıram 5.475 lira ile 5.500 görme ihtimali kuvvetli cumaya kadar yüzde yüz olur benim analizim yatırım tavsiyesi deyil 3 günlük çin piyasa tatili bitti Yarın çin tarafında büyük alımlar gelicek Yarın yeni bir rekor tazeleyecek altın.,Alım-Satım Niyeti
Ben cumaya kadar gıram altının 5.500 olacağına yüzde 100 inanıyorum,Genel Bilgi/Durum
Fed'in yarın faiz indirimi ne gidebilecegi beklentisi olan ekonomistler var boyle bir şey olma durumunda altin yukari sert gider deniliyor bu ihtimali goz onune alarak bu guun alacak olanlar en azindan bu ihtimalle karşı alım yapılması mantikli olur.,Risk ve Haber Analizi
Suriye hava sahasi ile iran hava sahasinda hic ucus yok her an her sey olabilir,Risk ve Haber Analizi
altın uzun vade işi dünya ekonomi liderleri ortak hareket ediyor birileri oynuyor ya kripto yada borsa vakti olur ytd,Genel Bilgi/Durum
Merkez bankası elbet altın satmayı bırakmak zorunda kalacak ozaman göreceğim ben altını nasıl tutacaklar.,Risk ve Haber Analizi
Faiz kararı çok etkilemez dünya ons alıyor ytd.,Risk ve Haber Analizi
Ons altın olarak yatırım yapmak mı yoksa kulpsuz ata lira olarak yatırım yapmak mı daha mantıklı?,Genel Bilgi/Durum
Suriye kurtulsun yeterki altın dolar herşey artsa ne olur bi dünyanın en büyük ülkesiyiz nasıl olsa,Risk ve Haber Analizi
Altın S1 sertifikasının kısaltılmışı nasıl arkadaşlar,Genel Bilgi/Durum
buldum varmış .İstanbul altın Serfitikası yazın çıkıyor,Genel Bilgi/Durum
Bankadaki gerçek olmayan ekran altınlaeının gerçekle alakası yoktur herkes altınını eline almalı inanmayın ekranlara yok öyle bir altın gerçek altın alın yazıktır,Genel Bilgi/Durum
bu 37.834 ne oluyor dolar mı ons/kilo hesabı mı?,Genel Bilgi/Durum
"TL 37.834..... Altın fiyatı dolar olarak 1988,77 x 19(gibi) 37800 TL eder. Ons",Hedef Fiyat Sorgulama
