text,label
2026 yılı yine altın faiz kazandıracak net,Hedef Fiyat Sorgulama
Altın uçuyor yine savaşlar yine başladı faizler artacak yine mejbur,Genel Bilgi/Durum
"Nette 6,8 milyon lot satıldı 5,2 milyon lotu bofa aldı. Nerdeyse bütün satılanı bofa aldı. Pazartesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker. Kurumsal yok yabancı yok 1 ileri 2 geri yuvarlanacağız.Bofa tek başına bist30 hisselerini bile çeviriyor",Piyasa Trend/Tahmin
"yatırımcı o hale geldiki biraz yükseliş gördüğü zaman sevinir oldu. Kchol son 1 senedir (-%5,46) kaybetirdi, son 2 senede getirisi sadece %23 . İki yılda faizden %100 e yakın brüt kazanç elde edildi. Borsada ağlanacak halimize güldük bu gün",Piyasa Trend/Tahmin
2026 uğurlu gelsin hep yükselişler olsun hedef 500,Hedef Fiyat Sorgulama
Turkiyenin en büyük holdingi Koç mezara mı götüreceksiniz vebal almayın hissenize sahip çıkın Koç hol değeri bu değil hissedarlarinizi perişan ettiniz,Genel Bilgi/Durum
Ali koç un olduğu yerden hayır gelmez şimdiye kadar hiç bir başarısı yok dede mirası yemekten başka,Genel Bilgi/Durum
Kchol almayın aldırmayın rezil bi hisse 1 sene çıkmaz,Genel Bilgi/Durum
2026 borsa ucmuyacak acele etmeyin ilk altı ay yan kagıtlar gider anlamlı bir yabancı gelmeden dolasımdakı lot sayısı fazla olan bist 30 hisseleri düşer dıkkat sonra üzülmeyin)),Hedef Fiyat Sorgulama
iyi o zaman bu bist 30 hissesi sat git zarar etme okurmu,Genel Bilgi/Durum
"Biraz daha düşerse bu endeksde yancıları başlar bankasını satıyor diye haber çıkarmaya. yükseltip malı milletin eline verirler. 2 kere bunu yaptılar. çok oyalandı bu fiyatlarda, zamanı geldi yakında başlarlar sağda solda balon haberler",Risk ve Haber Analizi
yazıklar olsun enflasyon yüzde 50 bir yıllık getirisi -8 oldu küfürmü yazalım,Alım-Satım Niyeti
"Aracı kurumlar arttırıyorda arttırıyor hedefi, var mı arttıran !!! SPK sende bigün hesap verir misin acaba !",Hedef Fiyat Sorgulama
"Endeks çıkarken kıpırdamıyor, inerken ilk önce bu iniyor, böyle bir œ",Genel Bilgi/Durum
"Şu hayatta çok az hata yapmışımdır, o hatalardan biride bu hisseyi almaktı. Artık O hata bir kez olur.",Genel Bilgi/Durum
Beni ilgilendirmiyor zaten ben satmışdım böyle izlemek daha iyi sattın kurtulun bence daha güzel hisseler varr sattıpımdan beri 1 tl oynsdı sadece,Genel Bilgi/Durum
Yılı eksi kapatıp final yap utanmazsan. Koç FB ye bulaştığından beri ne hisse nede FB nin yüzü gülmedi. Görünen oki %100 getiri hedefi olmasına rağmen çakıldı. Bizim borsada dev şirketler gitmiyor. Yan kağıtlar speklerle götürülüyor,Hedef Fiyat Sorgulama
Yeni yılda bari yüzümüzü güldür a a s hissesi. Temettüye kadar beklicem sonrası Allah kerim,Risk ve Haber Analizi
"İşte böyle kumar oldu buralar, temettüye kadar ne düşeceği ne olacağı belli deyil. Dahada düşerse acaba yeterince düştü, şimdi artar biraz daha bekleyeyim denir. Böyle bir &quot; KUMAR &quot;",Risk ve Haber Analizi
"YİNE KOÇ, YİNE HAYEL KIRIKLIĞI, YİNE BOŞA GEÇEN BİR GÜN DAHA...",Genel Bilgi/Durum
Pegasus aşırı alım bölgesinde hedef fiyat 385 şu anki fiyatı 193 ytd,Hedef Fiyat Sorgulama
algici zararın çok dimi aldirtmaya çalışıyorsun hissesiyi ama bilmiyor sunn 6 güne 150 TL düşecek hisse zararın daha çok olacak,Hedef Fiyat Sorgulama
"Kchol mu Pegasus mu bence Pegasus sizce? Pegasus fiyat 192 TL FK 6,39 PD/DD 0,87",Hedef Fiyat Sorgulama
bu nasıl bir tezgah sözde yabancı üç hafta dir mal alıyor eeyyy koç kendi Ğörüşüm,Genel Bilgi/Durum
yatırım şirketleri ky avına çıkmışlar hedefler hep hikaye kaç yıl sonra o hedefler 3 yıl spnramı.???,Hedef Fiyat Sorgulama
Gedik291 hedef veriyor .))) Tacirler 294 oyak 272 alın o zaman orcolar,Hedef Fiyat Sorgulama
Bunlar bizlerin faizsiz parası ile para kazandı. Bankalar al sattan parasını kazandı. Devlet vergisinden kazandı borsayı ayakta tuttugunun reklamını yapıp bizleri küçük yatırımcıyı bu h...... sızlara peşkeş çekti. vay bizlerin haline. 😡,Genel Bilgi/Durum
Kaçırın bakalım küçük yatırımcıyı bu gidişatın sonu bence yatırım diye herkes altına yoneliyor sonra çok ararsınızda işişten geçer.,Alım-Satım Niyeti
Koskoca Koç holding düştüğü duruma bak,Genel Bilgi/Durum
bunun holding olduğuna eminmiyiz arçelik zarar etmiş holding değil arçelik bile bu kadar düşmedi ya,Genel Bilgi/Durum
Koçun vaşakları bile yatırımcının elinde kaldığı bir borsamız var,Genel Bilgi/Durum
"%71.91 getiri potansiyeli var . Ortalama fiyat tahmini : 287,26 ₺. Enyüksek hedef fiyat 333TL. Hayaller range rover gerçekler game over.",Hedef Fiyat Sorgulama
"2 yıldır düşüşte herkesi mahvetti enflasyon filan 2 senedeki kayıp büyük gerçekten yazıklar olsun,aldıkları ahh lar yaklarını bırakmaz.",Piyasa Trend/Tahmin
