text,label
Kapalıçarşıda külçe satışı yok kimsenin elinde kalmamış talep cok ya vezir olucaz yada rezil,Alım-Satım Niyeti
Gümüşü en uygun nerden almalı makas az olarak,Genel Bilgi/Durum
La olum herkes altıncı mı gümüş daha çok kazandırıyor ya.,Genel Bilgi/Durum
uzuncuyum borsada iki senede enflasyonda erittiğim parayı altına yüzde onunu gümüşe yatırdım iki gün oldu gene zarar vermeyince mabut neylesin sultan mahmut.,Risk ve Haber Analizi
"bişi sorucam, kuyumcudan dizi alım spot fiyatından nasıl hesaplanıyoruz. bu fiyat 31.10 gram parasımıdır?",Alım-Satım Niyeti
"VALLAHA BENDE BUNUN NE OLACAĞINI BİLEMİYORUM AMA AMERİAKADA , KANADADA KESİN OLMAKLA BERABER AVRUPADA BAĞZI ÜLKE İNSANI BU GÜMÜŞÜ 10 KG , 50 KG , 100 KG OLARAK ALIYOR KÜLÇELER HALİNDE !! BİRDE ONCE OLARAK TA ÇOK OLAN VAR . BENDE ONLARI GÖRDÜKÇE VE BÜTÇEM OLDUKÇA ALIP FİZİKİ OLARAK KENARA KOYUYORUM",Hedef Fiyat Sorgulama
"Ama adamlar fiziki almıslar , alıp kenara koyuyorlar 8 yıldır alanı var , 5 yıldır alanı var , 4 yıldır alanı var şuanda bile alıyorlar bende bunların bir bildiği olmasa almazlar her halde dedim 3 yıldır her fırsatta alıyorum",Alım-Satım Niyeti
peki mantıklı mı 3-4 yılda 100 tl den 1000 tl gelen Gümüş almak karşısında %50 Tl faizi varken,Risk ve Haber Analizi
ons fiyatı bu yani 31.1 grm,Genel Bilgi/Durum
Kuveyt Türk makas aralıkları ne zaman düzelirrr,Genel Bilgi/Durum
gümüş yatırımını hangi platform aracılığıyla rahatlıkla yapabilirim ?,Genel Bilgi/Durum
gümüş yatırım fonu al en iyisi,Genel Bilgi/Durum
Bu ons / tl mi,Genel Bilgi/Durum
Gram altının 1 ayağı ons altın diğer ayak usd. Gümüşdede usd nin etkisi varmı.,Genel Bilgi/Durum
"Olmaz mı ? Diğer türlü arbitaj imkanı olur. Dünyada her mal $ a göre fiyatlanır, gümüş de, kereste de şeker de USD TL kurundan etkilenir.",Genel Bilgi/Durum
buradaki ...XAG/ TRY ....ons gümüş Türkiye fiyatımi oluyor,Genel Bilgi/Durum
"1 ons gümüşün TL cinsinden değeri oluyor.. Türkiyede de , almanyada da aynı fiyattır. Gümüş fiyatı ülkeden ülkeye değişmez",Genel Bilgi/Durum
Jp morgan mesajı net veriyor .”gümüşe dokunanı dikerim”,Genel Bilgi/Durum
Rusya nükleer santrali vurdu: Tarihte görülmemiş saldırı !...son dakika!....... Rusya tarihte benzeri görülmemiş bir saldırı gerçekleştirdi. Zporijya Nükleer Santralinde yangın çıktı. Ukrayna'dan yapılan açıklamaya göre saldırı sonrası çıkan yangında eğer patlama yaşanırsa bu Çernobil'den 10 kat daha etkili bir etkiye neden olacak. Rusya Ukrayna savaşında barış müzakerelerine rağmen yaşanan bu gelişme sonrası tüm dünya tedirgin. Ukrayna Devlet Başkanı Volodimir Zelenskiy &quot;Bu dünya tarihinde görülmedi. Hiçbir ülke nükleer santrallere saldırmadı&quot; dedi. Rusya ve Ukrayna arasındaki savaşta dehşet saçan görüntüler .......(skynews),Risk ve Haber Analizi
"Putin: Askerlerimiz Rusya için savaşıyor, kararımdan asla vazgeçmeyeceğim .!....Rusya-Ukrayna savaşına ilişkin yaptığı açıklamada Askerlerimiz Rusya için savaşıyor, kendini feda ediyor, Operasyonlarımız devam ediyor, ağırlaştırılarak devam edecek, askerlerimiz kendini feda ediyor. Neonazilere karşı savaşıyoruz. dedi. (skynews)",Risk ve Haber Analizi
"Zelenskiy,Ukrayna ilk yabancı gönüllü savaşçıları kabul etmeye başladı. Bunlardan ilk 16 bini ülkeye geldi, ruslara büyük bir ders veriyoruz vermeye devam edeceğiz...(skynews)",Risk ve Haber Analizi
"PUTİN AVRUPAYI YAKMADAN DURMAYACAK !!!......Putin açık açık İsveç'i tehdit etti 'NATO üyeliği Sonunuz olur' Kriz isveçe sıçradı .!.......Rusya, 4 savaş jeti ile ülkenin hava sahasını ihlal ederek her an saldırabileceğini gösterdi, Rusya - Ukrayna savaşında Rusya'nın ele geçirdiğini açıkladığı kentin belediye başkanı konuştu. Rus Jetleri İsveç hava sahasını ihlal etti. (dw)",Risk ve Haber Analizi
Kiev'de tren istasyonu bombardıman ve füzeyle vuruldu..!! Rusya'nın saldırısı altındaki Ukrayna'nın başkenti Kiev'de tren istasyonu vuruldu ...(aa),Risk ve Haber Analizi
"İsveç'ten 400 kişi, Ukrayna'da Rusya'ya karşı savaşmak için başvurdu....!..(ntv)",Risk ve Haber Analizi
"SON DAKİKA: RUSYA UKRAYNADAN SONRA MOLDOVAYA SALDIRACAK...!!....Lukaşenko, Rusya’nın Moldova’yı işgal planını ifşa ettiRusya’nın Ukrayna’ya yaptığı saldırı 7. gününde devam ederken, Putin’in müttefiklerinin başında gelen Belarus lideri Aleksandr Lukaşenko güvenlik konseyi toplantısında yaptığı sunumundaki harita gündeme geldi. Lukaşenko’nun televizyonda canlı yayınlanan sunumundaki haritada, Rusya’nın Moldova’ya yönelik bir işgal planı olduğu görüldü. (NTV)",Risk ve Haber Analizi
"RUSYA KIYAMETİ KOPARACAK..!.......PUTİN'DEN SONRA LAVROV DA DİLLENDİRDİ..!...Sergey Lavrov: 3'üncü Dünya Savaşı nükleer ve yıkıcı olacak ...!.....Lavrov, Ukrayna'nın ABD tarafından nükleer silah edinmesine asla izin vermeyeceğiz. 3. Dünya Savaşını başlattığımızda nükleer ve yıkıcı olacak. dedi.(elcezire)",Risk ve Haber Analizi
"KIYAMETİN HABERİ GELDİ ...!.....Kim Jong-un'dan talimat: 3. Dünya Savaşı'na hazır olun ..!!...Rusya-Ukrayna savaşında yaşananlar tüm dünyada endişeyle takip edilirken. Rusya'nın 'Nükleer Savaş' çıkacak, söylemi sonrası Kuzey Kore lideri Kim Jong-un, askeri komutanlarına '3. Dünya Savaşı'na hazır olun talimatı verdi. (dw)",Risk ve Haber Analizi
Putin: Hedefe ulaşana kadar durmayacağız... Zelenski: Sonuna kadar Savaşacağız... (haber3),Risk ve Haber Analizi
Zelenskiy imzayı attı: Savaşın Ana Sebebi AB süreci başladı ....(haber3),Risk ve Haber Analizi
Ukrayna Devlet Başkanı Zelenskiy'nin 'uluslararası lejyon' çağrısına cevap veren İngiltere ve Letonya savaşmak için Ukrayna'ya gitmek isteyenlere izin verileceğini açıkladı. Eski İngiliz askerlerinden oluşan bir grup Ukrayna'ya yola çıktı. İngiliz gazeteleri gönüllü askerin sayısının binlere çıkabileceği belirtiliyor. (cnn),Risk ve Haber Analizi
"Ukrayna’da devam eden savaşta,Kiev’in kuzeyine 30 KM kala Rus askeri, Ukrayna kuvvetlerinin şiddetli direnişiyle yavaşlatıldı. (cnn)",Risk ve Haber Analizi
"Son Dakika...Rusya Kiev'i serbestçe yakıp yıkmak için sivillerin tahliyesini istedi.....Rusya Savunma Bakanlığı, Ukraynalı sivillerin Kiev’den tahliye edilmesi için çağrıda bulundu. Yapılan açıklamada şehirden güvenli bir çıkış için bölgenin hazırlandığı ve sivillerin Vasikov üzerinden şehirden ayrılabileceği duyuruldu.Bakanlık, Rusya sadece askeri unsurlara saldıracaktır ve siviller risk altında değildir. Bu yol açık ve güvenlidir ifadesini kullandı.Bu açıklama, Ukrayna ve Rusya heyetlerinin Belarus’ta görüşmesine saatler kala geldi. Ukrayna Devlet Başkanı Zelenskiy, müzakerelerden umutlu olmadığını açıklarken, ülkesinin teslim olmaya niyeti olmadığını dile getirmişti. (yeniçağ)",Risk ve Haber Analizi
"İngiltere basınından, Putin nükleer butona basabilir.!.....Cayrıdıcı güçlerle ilgili talimat, nükleer savaş çıkıp çıkmayacağını gündeme getirdi.....BBC'nin Moskova Muhabiri Steve Rosenberg imzalı analizde, Bir itirafla başlayayım. Pek çok kez, 'Putin bunu asla yapmaz' diye düşündüm. Sonra gidip yapıyor. denildi. (dw)",Risk ve Haber Analizi
"Son Dakika :Rusya aralıksız bombalamaya roketlerle saldırmaya devam ediyor.....Ukrayna'nın Çerkassi şehrinde savaşın başından bu yana görülen en büyük patlama kaydedildi.....Kiev’in Kuzeyinde çekilen uydu fotoğrafında yaklaşık 5 KM’lik Rus askeri konvoyu görüldü. ......Avrupa Birliği, Ukrayna’ya savaş uçağı da sağlayacak. ...(odatv)",Risk ve Haber Analizi
"...Son Dakika: Rusya Ukraynadaki Nükleer santralleri Vurdu Durum çok vahim olabilir .!......Uluslararası Atom Enerjisi Ajansı (UAEA), Ukrayna'da nükleer santral ve radyoaktif atık depolama tesislerinin vurulduğunu duyurdu. (dw)",Risk ve Haber Analizi
"SAVAŞ DAHADA BÜYÜYECEK !.........Putin talimat verdi: Özel savaş durumuna geçiliyor ! ..Orduya nükleer silahlarında kullanılabileceğini, caydırıcılık gücünü kullanma emri verdim....(ntv canlı)",Risk ve Haber Analizi
"Ukrayna Dışişleri bakanlığı: Yorulmadan, Vazgeçmeden SAVAŞACAĞIZ.....(NTV CANLI)",Risk ve Haber Analizi
"Putin gizli silahını devreye sokabilir !......Rusya’nın Ukrayna’ya işgalinin üçüncü gününde çatışmalar şiddetlenirken, Rus birliklerin askeri hedeflere saldırılarda ağır Cruise füzeleriyle saldırırken Batılı savaş yetkililerinden daha korkunç bir uyarı geldi. Ukrayna’ya yönelik saldırıları çıkmaza giren Rusya atom bombasına eşdeğer cesetleri buharlaştıran ve iç organlara zarar veren vakum bombası termobarik silahlara başvurabileceğinden korktuklarını dile getirdiler. kullanabileceği konusunda uyardı. (dw)",Risk ve Haber Analizi
"Zelenskiy: Ne kadar sürerse sürsün savaşacağız !.......Ülkeyi kurtarmak için ne kadar sürerse sürsün savaşacağız. Bombardıman devam ederken bile... Çocuklar zaten barınaklarda doğmuşsa, şüphesiz savaşta düşmanın şansı yoktur. Ukraynalıların ülkeyi savunma istekliliği işgal senaryosunu bozdu. Ülke özgürleşene kadar savaşacağız. (borsagündem)",Risk ve Haber Analizi
"Savaştan kaçan Suriyeli erkekler bizim sahillerimizde nargile içerken, Ukraynalı kadın asker Iryna Tsvila vatan için öldü (yeniçağ)",Risk ve Haber Analizi
"Kremlin: Ukrayna müzakereyi reddetti, Saldıracağız .!!!!........Rus ordusu Ukrayna topraklarını bombalamayı sürdürürken, Rusyadan savaşı devam ettireceğiz açıklaması geldi.Kremlin Sözcüsü Dmitriy Peskov, Ukrayna'nın müzakereyi reddettiğini; Rus ordusunun yeniden ilerlemeye başladığını duyurdu. (ntv)",Risk ve Haber Analizi
"Fransa Cumhurbaşkanı Macron: Bu savaş aylarca sürecek.....!...Bu kriz sürecek, bu savaş aylarca sürecek ve beraberinde gelen tüm krizlerin korkunç ve kalıcı sonuçları olacak dedi.......(dw)",Risk ve Haber Analizi
"NATO: Rusya Ağır bedeller ödeyecek...!.....Bu çatışmanın tüm sorumluluğu Rusya'ya aittir...Rusya BM Şartı da dahil olmak üzere uluslararası hukuku temelden ihlal etti....Tüm Müttefikleri korumak ve savunmak için birleşmiş durumdayız....NATO'nun askeri gücü ile caydırıcılığı ve savunma için gerekli Tüm Müttefiklerin güvenliğini ve savunmasını sağlamak için gereken tüm askeri, ekonomik ve siyasi önlemleri eyleme dönüştüreceğiz. İttifak'ın doğu kısmına savunma amaçlı kara ve hava kuvvetlerini ve deniz varlıklarını yerleştirdik. Kendimizi ve İttifak topraklarını güvence altına almak için, müdahale güçlerimizden yararlanmak da dahil olmak üzere, NATO'nun savunma planlarını etkinleştirdik. Şimdi İttifak'ın doğu kısmına önemli ilave savunma kuvvetleri konuşlandırıyoruz. Şimdi güçlü ve güvenilir caydırıcılık ve savunma sağlamak için gerekli tüm fiilleri yapacağız. (ensnhbr)",Risk ve Haber Analizi
"Son dakika ...Rus savaş gemisi NATO üyesi Romanya'ya ait Millenium Spirit isimli Romanya bandıralı gemi, Pivdenny limanından 12 mil uzakta bir Rus gemisi tarafından vuruldu.(dw)",Risk ve Haber Analizi
"Rus tankları bugün başkent Kiev'e saldırı başalatacak !!......Zelenski, Sivil yerleşim alanları, Dün olduğu gibi bugün de askeri ve sivil hedefler Rusya bombardımanı altında.Bombardımanlar ve sivil yerleşim yerlerine yapılan saldırılar 1941 yılını anımsatıyor' ifadelerini kullandı......AFP Kiev'in kuzey bölgesinde şiddetli çatışmalar yaşandığını duyurdu...İngiltere Savunma Bakanı, İngiliz istihbaratının Rusya'nın Ukrayna'nın tamamını işgal etmeyi planladığını; Rus ordusunun 450'den fazla personel kaybettiğini, belirten İngiliz Bakan 'İşgalin ilk gününde ana hedeflerine ulaşamadılar' dedi. Ukrayna ordusu, başkent Kiev dışında Rus güçleriyle şiddetli çatışmalar yaşadığını söyledi. (borsagündem)",Risk ve Haber Analizi
"Altın ve gümüşe hücum..!.....Rusya-Ukrayna gerilimi piyasalarda risk iştahını azaltırken, değerli metallere ilgi arttı. Yatırımcıların hisse senedi veya kriptopara gibi nispeten daha riskli varlıklardan çıkıp değerli metallere yönelmesiyle ons altın ve gümüş toparlayarak yukarı yönde hareket ediyor. ABD dolar endeksinin bir süredir dar bir aralıkta gidip gelmesi de değerli metalleri dolar karşısında değerlendiriyor. (borsagündem)",Risk ve Haber Analizi
"..Ukrayna lideri Zelenskiy: Rusya istemesede NATO üyesi olmak istiyoruz.Ukrayna Devlet Başkanı Vladimir Zelenskiy, NATO üyeliğinin, ülkenin güvenliği ve toprak bütünlüğü için garanti olacağını belirtti.Zelenskiy, bugünkü basın toplantısında, Maalesef bu konuya netlik getiremiyorum. Çünkü maalesef her şey Ukrayna’ya bağlı değil. Ukrayna’nın Avrupa Birliği’ne, sınırlarını güçlendirmeye, ittifakın geleceğine, hedeflerimize ilişkin taleplerini çok iyi biliyorsunuz. Bunun ülkemizin isteği olması ve ülkemizin doğusunda savaşın yaşanması dışında, NATO üyeliğini, güvenliğimizi ve toprak bütünlüğümüzü sağlamak için istiyoruz. Bu, Ukrayna Anayasasında belirtildi” ifadesini kullandı. (sputnik)",Risk ve Haber Analizi
"Ukrayna’nın doğusunda Yunan kökenli iki kişinin öldürülmesi savaş krizine Yunanistanıda Dahil etti !! ...Yunanistan Dışişleri Bakanlığı, resmi internet sitesi üzerinden bir açıklama yaptı. Yunan Dışişleri Bakanlığı, Ukrayna’nın doğusunda Yunan kökenli iki kişinin öldürülmesi Yunanistanı kızdırdı. (odatv)",Risk ve Haber Analizi
Altında kıyameti koparacak senaryo | Goldman Sachs açıkladı -- Ekonomist Hatice Kolçak Açıklıyor---Kısa zamanda Altın 2150 Doların üstüne atacak... (yeniçağ),Hedef Fiyat Sorgulama
"Altın sert yükselecek ; dolar ve euro da takipte ! Yeni haftaya yükselişle başlayan piyasalarda altının gramı 800 TL'yi aştı. Dolar ve euro da yatay seyrini sürdürüyor.Küresel piyasalarda, Rusya'nın Ukrayna'yı işgal edebileceği endişesiyle cuma günü artan risk algısı, yeni haftanın başlangıcında da fiyatlamalardaki etkisini sürdürüyor. Analistler, Rusya ile Ukrayna arasındaki krize ilişkin gelişmelerin ana gündem maddesi olduğunu kaydederek, haftanın devamında yoğunlaşan veri takviminin de varlık fiyatları için önem arz ettiğini bildirdi.",Risk ve Haber Analizi
"Altın fiyatları için kritik analiz Yükseliş yeni başladı daha fazla yükselecek !ABD'de ve Türkiye'deki yükselen enflasyon, Merkez Bankaları'nın faiz kararları ve Ukrayna - Rusya arasındaki gerilimle hareketlenen altın fiyatları için ünlü stratejistten dikkat çeken bir uyarı geldi.Altın fiyatları 40 yılın zirvesine çıkan ABD enflasyonu, Rusya- Ukrayna arasında savaş çıkabileceği söylemleri ve Fed'in etkisiyle son 3 ayın zirvesine çıkarken uzmanlardan da dikkat çeken tahminler peş peşe geldi.Küresel piyasalardaki gelişmeleri yorumlayan Stratejist Hamza Yardımcıoğlu, Fed'in zirve yapan enflasyon nedeniyle faiz artırmak zorunda kalacağını ancak bunun yeterli olmayacağını vurguladı.Stratejist, pandemi sırasında ABD'nin akıllara durgunluk veren bir parasal genişleme yaptığını ve şu anda dünyada 9 trilyona yakın dolar olduğunu hatırlatarak, dünyanın hiperenflasyonla karşılaşacağını belirtti.Yükselen enflasyonun hiperanflasyonun habercisi olduğunu düşünen Yardımcıoğlu, sadece ABD'de değil küresel çapta da enflasyonun yükseldiğini ve hisse senetleriyle birlikte diğer yatırım araçlarının değerlerini yitirdiğini söyledi.Stratejiste göre mevcut durum bu şekilde olduğu için yatırımcılar değer kaybından korunmak amacıyla altın alımına yöneliyor.teknik anlamda altının üçgeni kırdığını ve adım adım yükselmeye başladığını kaydediyor ve önümüzdeki haftadan itibaren altın fiyatlarının daha fazla yükseleceğini tahmin ediyor.ABD Merkez Bankası'nın (Fed) Mart ayı toplantısında 50 baz puan faiz artırımına gideceği yönündeki beklentileri artırırken önümüzdeki dönemde Fed'den daha agresif adımlar görülebileceği ifade edildi.(haber3)",Risk ve Haber Analizi
"..Türk Hava Yolları, Ukrayna'daki savaş atmosferi nedeniyle Ortaklığımıza ait Ukrayna (Kiev, Odessa, Lviv, Harkiv, Zaporijya ve Herson) varışlı seferlere kayıtlı olan yolcularımız, Hiç kullanılmamış biletlerin ücret iadesi yapılacaktır. (odatv)",Risk ve Haber Analizi
"...ZENGİNLER UKRAYNADAN KAÇIYOR !!! Ukrayna'daki oligarklar ve iş adamlarının özel jetleri ile ülkeden kaçtığı belirtiliyor.. Ukrayna’da savaş çanlarının çalması önce zenginleri ürküttü. Rusya ile Ukrayna arasındaki krizde Batılı ülkelerin savaş çıktı çıkacak açıklamalarının ardından özel jetler ardı ardına havalanmaya başladı.Son haftalarda dünya, Rusya ile Ukrayna arasında savaş beklentilerine kitlenmiş durumda. Birçok ülke vatandaşlarını Ukrayna'yı terk etmeleri konusunda uyarırken bazı havayolu şirketleri de bu ülkeye seferlerini durdurma kararı almıştı.Sosyal medyada paylaşılan FlightRadar görüntülerinde savaşın kapıya dayanmasının ardından ülkedeki iş adamları ve oligarkların özel jetleri ile ülkeyi terk ettiği iddia edildi. (odatv)",Risk ve Haber Analizi
"Dünya savaşı çıkmak üzere !! Biden'dan Putin'in yüzüne son uyarı ! İşte o cümle. Dünya savaşı çıkmak üzereABD Başkanı Joe Biden, bugün Rusya Devlet Başkanı Vladimir Putin'le yaptığı 1 saatlik kritik Ukrayna görüşmesinin ardından açıklamada bulundu. (yeniçağ)",Risk ve Haber Analizi
