text,label,source
pazartesi ben kaçar,Alım-Satım Niyeti,akbnk
trumpun yaptığı karşısın da etkilenir miyiz,Risk ve Haber Analizi,akbnk
"etkilenme olasılığı çok düşük ,",Risk ve Haber Analizi,akbnk
40 tl'ye düşmez en fazla 59 değer 60 üzeri bir rakamda gezinir . 40 diyenler çok bekler .,Piyasa Trend/Tahmin,akbnk
"pazartesi elinizden malı almaya çalışacaklar , satmayın .",Piyasa Trend/Tahmin,akbnk
"beklenmedik siyasi bir olay olmadığı sürece . hisse yükselmeye devam edecek . artı olarak daha pozitif bir şey olurda banka hissesi yabancıya satılırsa zaten tahmin edemeyeceğimiz yerlere gelecek . şu an akbank , portföylerde banka bölümü olarak çekirdek hisse",Piyasa Trend/Tahmin,akbnk
"venezuela , colombia bombalanılmaya başkandı . , venezuela lideri , & Quote ; silahlı çatışmaya geçiyoruz & Quote ; ifadesini kullandı . jeopolitik riskler yine artıyor . bizim borsamız da her şeyden nem kaptığı düşünüldüğünde , dikkatli olunması gereken bir döneme girildiği kesin .",Risk ve Haber Analizi,akbnk
aman aman tamda rayına girecek akbank bahar sonuna yükselecek diye bugünleri bekledik,Piyasa Trend/Tahmin,akbnk
maalesef adamı odasından alıp götürmüşler etkilenileceğiz etkilenmek bile bahanesi oluruz,Risk ve Haber Analizi,akbnk
"pazartesi enflasyon düşük gelirse beklenti zaten satın alınmıştı deyip verirler hisseyi , enflasyon yüksek gelirse zaten verirler hisseyi hertürlü sonuç düzeltme olur pazartesi geliyor bana . koca bir yıl %5 yapana canı çıktı 2026 da 1 günde %5 le başladı ne ilginç .",Risk ve Haber Analizi,akbnk
pazartesi 90 olamaz ise 40 tl'ye düşer 90 olursa 200 olur yoksa 40 düşer dikkat et,Piyasa Trend/Tahmin,akbnk
arkadaş ben 50 sene eklicem 100 sene sonra yükselir en fazla olurum,Genel Bilgi/Durum,akbnk
40 ye düşüş bekliyor alanlar kaybedecek,Piyasa Trend/Tahmin,akbnk
"evet malda kalan dostlar formdaşlarım burada mısınız . millete gaz verme günaha girersin diyen teknik analiz piyasa döngüsü bilmeyenler ya siz sizde burada mısınız . geçenlerde yarı kâr realizasyonu yapıp ( çıkış 70.40'di ) bir dairemizi almıştık . allah herkese nasip eder inşallah gene ısrarla hedefine ulaşamayan malda kalmalı . hedefine ulaşan hedefi her ne ise ev , araba , arsa tarla dükkan her neyse almalı . aksi bir haber çıkmazsa turp heybe siyasi gelişme olmazsa önümüzdeki hafta enflasyon %1'ın altı gelirse merkez bankası faiz indirimi güçlenir satın almalar sertleşir trent yukarı",Risk ve Haber Analizi,akbnk
net işlemde 18.5 milyon lot satıldı 5.2 milyon lotu bofa aldı . p . tesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker . kurumsal yatırımcı yok yabancı yok bir ileri 2 geri sürünmece,Piyasa Trend/Tahmin,akbnk
yükseldi diye seviniyoruz aslında borsada ağlanacak halimize 1 günde olsa güldük . hisse daha gördüğü zirvesine bile gelemedi diğer özel bankalar 3 kere yeni zirve yaptı bu zamandır . 100tl hedef fiyat veren kurumlar var . olurda borsa bu yıl coşarsa buda arada gider yabancı gelirse tabii yoksa işi zor,Hedef Fiyat Sorgulama,akbnk
akbank güzel yerlere gelecek . elinizdekileri satmayın sabredin,Piyasa Trend/Tahmin,akbnk
satış başladı,Piyasa Trend/Tahmin,akbnk
bugün istanbul borsasında endeks neden yükseldi,Genel Bilgi/Durum,akbnk
20 ye düşüş bekliyor alanlar kaybedecek,Piyasa Trend/Tahmin,akbnk
bu hisseden aman aman uzak durun sakin almayın,Piyasa Trend/Tahmin,akbnk
asya bankasından 100 milyon dolar kaynak sağlandı 5 yıl vadeli,Risk ve Haber Analizi,akbnk
Alanur'um var mı . teşekkürler .,Genel Bilgi/Durum,akbnk
ben alıyorum,Alım-Satım Niyeti,akbnk
