text,label,source
[AKBNK] Pazartesi ben kaçar,Alım-Satım Niyeti,akbnk
[AKBNK] trumpun yaptıgı karşısın da etkilenirmiyiz,Risk ve Haber Analizi,akbnk
"[AKBNK] Etkilenme olasılığı çok düşük,",Risk ve Haber Analizi,akbnk
[AKBNK] 40 TL'ye düşmez en fazla 59 değer 60 üzeri bir rakamda gezinir.40 diyenler çok bekler.,Piyasa Trend/Tahmin,akbnk
"[AKBNK] Pazartesi elinizden malı almaya çalışacaklar,satmayın.",Piyasa Trend/Tahmin,akbnk
"[AKBNK] Beklenmedik siyasi bir olay olmadığı sürece... hisse yükselmeye devam edecek. Artı olarak daha pozitif birsey olurda banka hissesi yabancıya satılırsa zaten tahmin edemeyeceğimiz yerlere gelecek.. Şuan akbank , portföylerde banka bölümü olarak çekirdek hisse",Piyasa Trend/Tahmin,akbnk
"[AKBNK] Venezuela,Colombia bombalanmaya başkandı.., Venezuela lideri,&quot; silahlı çatışmaya geçiyoruz &quot; ifadesini kullandı..jeopolitik riskler yine artıyor..Bizim borsamız da her şeyden nem kaptığı düşünüldüğünde,dikkatli olunması gereken bir döneme girildiği kesin..",Risk ve Haber Analizi,akbnk
[AKBNK] aman aman tamda rayına girecek akbank bahar sonuna kadar yükselecek diye bugünleri bekledik,Piyasa Trend/Tahmin,akbnk
[AKBNK] malesef adamı odasından alıp götürmüşler etkilenecegiz etkilenmsek bile bahanesi oluruz,Risk ve Haber Analizi,akbnk
"[AKBNK] Pazartesi enflasyon düşük gelirse beklenti zaten satın alınmıştı deyip verirler hisseyi,enflasyon yüksek gelirse zaten verirler hisseyi hertürlü sonuç düzeltme olur Pazartesi gibi geliyor bana.Koca bir yıl %5 yapana kadar canı çıktı 2026 da 1 günde %5 le başladı ne kadar ilginç...",Risk ve Haber Analizi,akbnk
[AKBNK] pazartesi 90 olamaz ise 40 TL'ye kadar düşer 90 olursa 200 olur yoksa 40 kadar düşer dikkat et,Piyasa Trend/Tahmin,akbnk
[AKBNK] arkadaş ben 50 sene beklicem 100 sene sonra yükselir en fazla ölürüm,Genel Bilgi/Durum,akbnk
[AKBNK] 40 ye kadar düşüş bekliyor alanlar kaybedecek gibi,Piyasa Trend/Tahmin,akbnk
"[AKBNK] Evet malda kalan dostlar formdaşlarım burdamısınız.Millete gaz verme günaha girersin diyen teknik analiz piyasa döngüsü bilmeyenler ya sizler sizlerde buradamısınız.Geçenlerde yarı kâr realizasyonu yapıp(çıkış 70.40'dı)bir dairemizi almıştık. Allah herkese nasip eder inşallah Gene ısrarla hedefine ulaşamayan malda kalmalı. Hedefine ulaşan hedefi her ne ise ev, araba, arsa tarla dükkan her neyse almalı.Aksi bir haber çıkmazssa turp heybe siyasi gelişme olmazssa önümüzdeki hafta enflasyon%1'in altı gelirse merkez bankası faiz indirimi güçlenir ve satın almalar sertleşir trent yukarı",Risk ve Haber Analizi,akbnk
"[AKBNK] Net işlemde 18,5 milyon lot satıldı 5,2 milyon lotu bofa aldı. P.tesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker. Kurumsal yatırımcı yok yabancı yok bir ileri 2 geri sürünmece",Piyasa Trend/Tahmin,akbnk
[AKBNK] Yükselidi diye seviniyoruz aslında borsada ağlancak halimize 1 günde olsa güldük.Hisse daha gördüğü zirvesine bile gelemedi diğer özel bankalar 3 kere yeni zirve yaptı bu kadar zamandır. 100TL hedef fiyat veren kurumlar var .Olurda borsa bu yıl çoşarsa buda arada gider yabancı gelirse tabii yoksa işi zor,Hedef Fiyat Sorgulama,akbnk
[AKBNK] Akbank güzel yerlere gelecek. elinizdekileri satmayın ama sabredin,Piyasa Trend/Tahmin,akbnk
[AKBNK] SATIŞ BAŞLADI,Piyasa Trend/Tahmin,akbnk
[AKBNK] bugun ıstanbul borsasında endeks neden yukseldi,Genel Bilgi/Durum,akbnk
[AKBNK] 20 ye kadar düşüş bekliyor alanlar kaybedecek gibi,Piyasa Trend/Tahmin,akbnk
[AKBNK] bu hisseden aman aman uzak durun sakın almayın,Piyasa Trend/Tahmin,akbnk
[AKBNK] Asya bankasından 100 milyon dolar kaynak sağlandı 5 yıl vadeli,Risk ve Haber Analizi,akbnk
[AKBNK] Alankurum var mı.Teşekkürler.,Genel Bilgi/Durum,akbnk
[AKBNK] Ben alıyorum,Alım-Satım Niyeti,akbnk
[AKBNK] Artık yürü beya,Piyasa Trend/Tahmin,akbnk
[AKBNK] endeksi duşüren-kötü ellerde,Genel Bilgi/Durum,akbnk
[AKBNK] 5 ocak pztesi inflasyon bildirisinde ters oynayamaz,Risk ve Haber Analizi,akbnk
[AKBNK] xbank iyi gidiyordu bu bozdu işi,Genel Bilgi/Durum,akbnk
[AKBNK] nıye düştu bu şimdi kim satıyor goren varmı,Genel Bilgi/Durum,akbnk
"[AKBNK] diğer bankalara oranla,bu amma nazlandı",Genel Bilgi/Durum,akbnk
[AKBNK] 5 ocak enflasyonu bekliyor banka sektorü,Risk ve Haber Analizi,akbnk
[AKBNK] 3 aralikta enflasyonla yukselmişti enflasyon oncesi duşmesi normal ya yuksek çikarsa diye,Risk ve Haber Analizi,akbnk
[AKBNK] KORAY CİM ÖYLE ŞEYLERE KAFA YORMA.. BEYNİN YANAR. ONLAR EKİPLER. KARŞILIKLI İŞLEM YAPIYO LAR KİMDE NE VAR BİLİYO LAR.. 100000 ÜSTÜ BÜTÜN LOTLARINI SAYIYO LAR. BOFA MOFA BUNLARI GEÇ. SEN 120 LİRADA MUMU HANGİ OTELDE. HANGİ ŞARAP LA. SÖNDÜRECEĞİNİ DÜŞÜN..,Hedef Fiyat Sorgulama,akbnk
[AKBNK] lan hayır işbankası +1 yakıyor ykbnk +0.5 yakıyor -1.5 tan gelip sen -%0.7 den gelip %0.5+ yakamıyosun bofa ne baskıladın kağıdı dün yukardan 12m mal alıyosun bugün 2m mal çakıyosun. hayır zararına yapıyosun bide,Risk ve Haber Analizi,akbnk
[AKBNK] bu pılanlı soyguna zemın harcayan butün kurumların sorumlularının taaaa...,Genel Bilgi/Durum,akbnk
[AKBNK] oynuyorlar resmen ky le dunyanın en duzambaz borsalarından bırındeyız tokatcılarla dolu,Genel Bilgi/Durum,akbnk
