text,label
[USDTRY] Yarın dolar avro parite ne olur,Piyasa Trend/Tahmin
"[USDTRY] Altın,gümüş ve petrol düşecek, dolar zaten düşme trendinde, Borsa da sağlam hisse senetleri kazandıracaktır. Ytd.",Piyasa Trend/Tahmin
[USDTRY] bugün itibariyle doların reel değeri düşüşü hızlanacaktır. yani ABD borç vermeme oranı artacaktır. yaptıkları için artık ABD doları kullanımı azalacak brics gibi hikayeler beklenecek. pazartesi ons yükselişle tazelenecek.,Piyasa Trend/Tahmin
[USDTRY] pazartesi doviz altın ne olur,Piyasa Trend/Tahmin
[USDTRY] Pazartesi parite ne olur,Piyasa Trend/Tahmin
[USDTRY] Önceden fiyatlamıştır diye düşünüyorum,Genel Bilgi/Durum
[USDTRY] dolarcilar mali goturur,Piyasa Trend/Tahmin
[USDTRY] bu gidis 80 gorunuyor gibi,Piyasa Trend/Tahmin
[USDTRY] gecmis olsun bu is biter dolar ucar,Piyasa Trend/Tahmin
[USDTRY] pazartesi dx 105 biz de de sanirim once 45 le baslar,Piyasa Trend/Tahmin
[USDTRY] eur usd 50 k short pozdayım iyimi kötümü anlamadım,Alım-Satım Niyeti
[USDTRY] parite sert inecek bu kesin adamm o petrollerin basina oturdugunda borclari oder,Piyasa Trend/Tahmin
[USDTRY] pazartesi piyasalar icin epey riskli duruyor,Risk ve Haber Analizi
[USDTRY] venezullada 44.01 acti,Risk ve Haber Analizi
[USDTRY] madduuronun altttinlari ve dlarlarinin bir kismi buradaymisss truupp hepsinin toplayacakmiss,Risk ve Haber Analizi
[USDTRY] altinlarini getirtti corumda ahlatttciya kulceye dokturdu bir kismi burada kalmistir mutlaka cunku bize guveniyordu,Risk ve Haber Analizi
[USDTRY] trupp tum dunyadaki malvarliklarinida toplayacakmiss iste sorun burada,Risk ve Haber Analizi
[USDTRY] dx 105 olursa ortalik karisir,Risk ve Haber Analizi
[USDTRY] PAZARITESİ ONS UZAYA DOĞRU GİDECEK BEN KAZANACAM AMA KADİM VİNEZUELLA HALKI KAYBEDECEK,Piyasa Trend/Tahmin
[USDTRY] dx pazartesi 105 deniyor,Risk ve Haber Analizi
"[USDTRY] Altın yar raa yer mi bu udurumda, Venezuela krizi de bittiğine göre?",Piyasa Trend/Tahmin
[USDTRY] alınırmı,Alım-Satım Niyeti
[USDTRY] sahi aralik enflasyonj 20. nin altina dusurul du mu mudur syn sorumlu,Genel Bilgi/Durum
[USDTRY] Dontum trump fark etmeden Venezuela dan aldığınız 15 ton altını hazırlayın,Risk ve Haber Analizi
"[USDTRY] ABD, vatandaşlarına “derhal Rusya’dan ayrılmaları çağrısında bulundu. “ Putini de almasın sakın",Risk ve Haber Analizi
[USDTRY] 2026'da yillik toplam 400.001 tl (ayda 33.333 ) alan calisan yuzde 27 vergi odeyecek,Genel Bilgi/Durum
[USDTRY] ekonomisi adim adim coken (dusmeyen abd uzun vade faizleri) abd hay dutunun pesine takilanlar bence cok sevinmesin,Risk ve Haber Analizi
[USDTRY] Önümüzde hafta dolar ne olur sizce,Hedef Fiyat Sorgulama
"[USDTRY] dolar al,aldırtt",Alım-Satım Niyeti
[USDTRY] venezuela ile gemilerle ne ticareti yaptik bilen var mi,Risk ve Haber Analizi
[USDTRY] bakın 10 gün önceki yorumlarıma mal yedirmeye başladım demiştim büyüklerle hareket ediyorum,Genel Bilgi/Durum
[USDTRY] yine venezuela ile mersin arasinda gemicik seferleri surecek mi ??,Risk ve Haber Analizi
[USDTRY] dunya ne kadar ko tu,Genel Bilgi/Durum
[USDTRY] beklendigi gibi cin abd is galiyle venezuela petrolunu kaybetmek uzere ama ro van şinı tayvan ile alacaktir,Piyasa Trend/Tahmin
[USDTRY] yok rövanş mövanş 90 sonrası büyükler ortak hareket ediyor hepsi tiyatro,Risk ve Haber Analizi
[USDTRY] 90'dan beri Sovyetlerin gitmesiyle dunyada denge kalmadi bu buyuk sorun,Risk ve Haber Analizi
[USDTRY] şu anda bütün metaller baronların ABD nin vs elinde yavaş yavaş yedirecekler... altın 6000 USD yide görebilir,Piyasa Trend/Tahmin
[USDTRY] dediğim gibi savaşlar bitti... ekonomik savaşlar var o da fakirin elindekini alma savaşları,Risk ve Haber Analizi
[USDTRY] metaller zirve yaptı ya. fakir fukaranın. eline yine verecekler.,Piyasa Trend/Tahmin
[USDTRY] Fiyat 43.200,Genel Bilgi/Durum
[USDTRY] MOZODDD yüz lira olur artık,Piyasa Trend/Tahmin
[USDTRY] yılsonu 70 olur dıyenlere kazma saappi girdi,Piyasa Trend/Tahmin
[USDTRY] Kontrollü devrasyon devam ediyor sene sonu 55 TL’yi bulur,Piyasa Trend/Tahmin
[USDTRY] kontrolünü bilmemde dolar baskilamalari yaninda liranin altina karsi deger kaybi acikcaa ortada,Genel Bilgi/Durum
[USDTRY] 17 subatta dolar gümleyecek cok sert devalüasyon kacınılmaz geliyor... 76 TL ilk hetapta,Piyasa Trend/Tahmin
[USDTRY] hesaplanan kademeli 200 gorulecekmis,Hedef Fiyat Sorgulama
"[USDTRY] bir yanda Türkiye nin parlayan bir yıldız olması düşen enflasyonu, artan döviz rezervleri, düşen dolart kuru... ilginç şeyler yaşanıyor.",Genel Bilgi/Durum
[USDTRY] 2 sene önce cidde de otel TL ile 1500 liraydı hala aynı fiyat bu enflısyon bizde var... kasıtlı olarak halk somuruluyor,Genel Bilgi/Durum
[USDTRY] birazdan roket,Piyasa Trend/Tahmin
[USDTRY] Asgari ücrete % 28 zam TRT çalışanlara %129.8 zam,Genel Bilgi/Durum
[USDTRY] Asgari ücretliyr %28 zam TRT de çalışanlara %128.9 zam,Genel Bilgi/Durum
[USDTRY] ve kamu kurulusu maaslarinı kim oduyor ??,Genel Bilgi/Durum
[USDTRY] truuup mmrkezın canaaga birseyyler atttrırırmı acaba,Risk ve Haber Analizi
[USDTRY] hef ay 1 tl artacak demekki sene sonu 55,Piyasa Trend/Tahmin
[USDTRY] yıl sonu ortalama artışa izin verecek merkez bankası,Risk ve Haber Analizi
[USDTRY] 44 olamaz,Genel Bilgi/Durum
[USDTRY] nisanda olur,Piyasa Trend/Tahmin
[USDTRY] maaşlara gelen vergiler çok büyük sıkıntı yaratacak,Risk ve Haber Analizi
[USDTRY] 1 dolar = 200 TL eski para 200.000.000 TL vay vay ekonomi uçiyur,Genel Bilgi/Durum
[USDTRY] her ay 1 lira artarsa sene sonu 55 lira,Piyasa Trend/Tahmin
[USDTRY] BEN HESAP UZMANIYIM 250 OLMASI LAZIM KAYIP BÜYÜK BAŞKA TÜVLÜ OLMAZ,Piyasa Trend/Tahmin
[USDTRY] yetmez. en az 100 olması lazım.,Piyasa Trend/Tahmin
[USDTRY] 44-45-46–50-60-70-90-100,Piyasa Trend/Tahmin
[USDTRY] MEHEDDİNE SOVUN NİYE Bİ SELAM B İ BAKTEVİ OLUYO DİYE ÇÜNKÜ MEMNUN DEĞİL BUVDA DEŞAVJ OLUYO 1 YILDA 43 ZOV OLMUŞ PAVASI PİL OLMUŞ NE YABACAKDI,Genel Bilgi/Durum
[USDTRY] gidemde dolar dolduram beleşken ecük,Alım-Satım Niyeti
"[USDTRY] dolarrrrzgyeahhhh,gaçınnn",Piyasa Trend/Tahmin
"[USDTRY] Benim pavam vav ,zaten havcamada yabmıyovum gidevim umvumda olmaz biz gidevsek bunlavı kim devivecek memlekette adam kalmadı mg",Genel Bilgi/Durum
[USDTRY] kredi kartin kaç geldi bu ay,Genel Bilgi/Durum
[USDTRY] Alemanyeda asgavi ücvedle çalışan yogda yanlavı vav hadi çalışsın en az 200 euvo avttıvıyo aylık buvda asgavi ücvedli olup 10 bin avttıvan vavmı neymiş alemanya kıskanıyomuş hes seg tiv mg,Genel Bilgi/Durum
[USDTRY] Bu ay 10bin attım kenava keyfim yevinde,Alım-Satım Niyeti
[USDTRY] yetev yetev bide 2026 ya giviyovuz diye kutlama yabdınız ne oldu iyimi oldu yine hevşeye zam delivicem duvmuyov avdı avkası kesilmiyov,Genel Bilgi/Durum
[USDTRY] Dunyada petrol asiri dustu ama burda zamlandi,Genel Bilgi/Durum
"[USDTRY] Ulkede su fiyatlari petrolu bile solladi, yani araba suyla calissa zarar",Genel Bilgi/Durum
[USDTRY] Benzine mazota otomatik 2 tl zam geldi,Risk ve Haber Analizi
[USDTRY] yeni yıla ucarark gidiyor bakalım asgari ucretki eline parası geçince kaç dolar erimiş olacak,Piyasa Trend/Tahmin
[USDTRY] 43 üzerinde başlayacağı belliydi. asgari ücret daha ele geçmeden erimeye başladı bile. ukrayna parasına karşı bile değer kaybediyoruz. bunun mantıklı bir açıkşaması olmaz.,Genel Bilgi/Durum
[USDTRY] Ay bunun artacağı yok ayol satıyorum hepiciini valla,Alım-Satım Niyeti
[USDTRY] benjaminin yinesabah erreksiyonu,Piyasa Trend/Tahmin
[USDTRY] Dolar bir müddet daha 40’ın altına inmez,Piyasa Trend/Tahmin
[USDTRY] zabanan ilk işim bi döviz bürosuna gitmek,Alım-Satım Niyeti
[USDTRY] hiç şeklini bozmayan bı sen varsın yeşil dolarım,Genel Bilgi/Durum
[USDTRY] lem amaricada hotdog 1 dollor ikene 5 dollor olldi mg... sen askeri üçrad 500 dollor olldi diya sewinmeya dewam id mg,Genel Bilgi/Durum
